mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
4	4	9	9	3.0	0	0	4/4	2	1	3/4	1/2	3/2		9	63	D#4	4	42
4	4	9	9	3.0	0	0	4/4	1	1	3/4	1/2	3/2		6	66	F#4	4	40
4	4	12	12	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		6	42	F#2	2	47
4	4	12	12	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		3	57	A3	3	45
4	4	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	43
4	4	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	41
5	5	13	13	1.0	0	0	4/4	4	1	1/4	1/4	1		4	40	E2	2	65
5	5	13	13	1.0	0	0	4/4	3	1	1/4	1/4	1		4	64	E4	4	59
5	5	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		1	67	G4	4	53
5	5	13	13	0.5	0	0	4/4	1	1	1/8	1/8	1		5	71	B4	4	48
5	5	27/2	27/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	49
5	5	14	14	0.5	1/4	1/4	4/4	4	1	1/8	1/8	1		2	38	D2	2	66
5	5	14	14	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1	1	3	57	A3	3	60
5	5	14	14	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66	F#4	4	54
5	5	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1	1	2	74	D5	5	50
5	5	29/2	29/2	0.5	3/8	3/8	4/4	4	1	1/8	1/8	1		4	40	E2	2	67
5	5	29/2	29/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	67	G4	4	55
5	5	15	15	0.5	1/2	1/2	4/4	4	1	1/8	1/8	1		6	42	F#2	2	68
5	5	15	15	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1	-1	3	57	A3	3	61
5	5	15	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	69	A4	4	56
