piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus	staff_7_instrument	staff_7_ambitus	staff_8_instrument	staff_8_ambitus
011	1: 4/4, 15: 3/4, 32: 4/4	1: 0	36	35	112.0	45	44	144.0		444.0	417	139	0	0	0	J. S. Bach	"Chorale 11:
Jesu, nun sei gepreiset"		"Chorale 11:
Jesu, nun sei gepreiset"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/011.mscz	False	43-77 (G2-F5)	mxl	Piano	62-77 (D4-F5)	Piano	43-67 (G2-G4)												
012	1: 3/4	1: 0	17	16	48.0	17	16	48.0		192.0	148	43	0	0	0	J. S. Bach	"Chorale 12:
Ein Kind geborn zu Bethlehem (Puer natus in Bethlehem)"		"Chorale 12:
Ein Kind geborn zu Bethlehem (Puer natus in Bethlehem)"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/012.mscz	False	45-74 (A2-D5)	mxl	Piano	62-74 (D4-D5)	Piano	45-64 (A2-E4)												
013	1: 4/4	1: 0	18	17	64.0	25	24	88.0		252.0	305	108	0	0	0	J. S. Bach	"Chorale 13:
Allein zu dir, Herr Jesu Christ"		"Chorale 13:
Allein zu dir, Herr Jesu Christ"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/013.mscz	False	38-77 (D2-F5)	mxl	Piano	60-77 (C4-F5)	Piano	38-65 (D2-F4)												
014	1: 4/4	1: 0	16	15	56.0	22	21	76.0		224.0	238	78	0	0	0	J. S. Bach	"Chorale 14:
O Herre Gott, dein göttlich Wort"		"Chorale 14:
O Herre Gott, dein göttlich Wort"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/014.mscz	False	40-74 (E2-D5)	mxl	Piano	57-74 (A3-D5)	Piano	40-64 (E2-E4)												
015	1: 4/4	1: 0	13	12	48.0	18	17	64.0		192.0	239	85	0	0	0	J. S. Bach	"Chorale 15:
Christ lag in Todesbanden"		"Chorale 15:
Christ lag in Todesbanden"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/015.mscz	False	38-76 (D2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	38-65 (D2-F4)												
016	1: 4/4	1: 0	19	18	68.0	26	25	92.0		268.0	298	97	0	0	0	J. S. Bach	"Chorale 16:
Es woll uns Gott genädig sein"		"Chorale 16:
Es woll uns Gott genädig sein"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/016.mscz	False	42-78 (F#2-F#5)	mxl	Piano	59-78 (B3-F#5)	Piano	42-66 (F#2-F#4)												
017	1: 3/4	1: 0	18	18	54.0	18	18	54.0		216.0	176	57	0	0	0	J. S. Bach	"Chorale 17:
Erschienen ist der herrlich Tag"		"Chorale 17:
Erschienen ist der herrlich Tag"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/017.mscz	False	43-76 (G2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	43-62 (G2-D4)												
018	1: 4/4	1: 0	13	13	52.0	13	13	52.0		208.0	201	70	0	0	0	J. S. Bach	"Chorale 18:
Menschenkind merk eben"		"Chorale 18:
Menschenkind merk eben"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/018.mscz	False	43-79 (G2-G5)	mxl	Piano	55-79 (G3-G5)	Piano	43-64 (G2-E4)												
019	1: 4/4	1: 0	10	9	36.0	10	9	36.0		144.0	183	67	0	0	0	J. S. Bach	"Chorale 19:
Ich hab mein Sach Gott heimgestellt"		"Chorale 19:
Ich hab mein Sach Gott heimgestellt"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/019.mscz	False	38-72 (D2-C5)	mxl	Piano	55-72 (G3-C5)	Piano	38-62 (D2-D4)												
020	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	236	80	0	0	0	J. S. Bach	"Chorale 20:
Ein feste Burg ist unser Gott"		"Chorale 20:
Ein feste Burg ist unser Gott"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/020.mscz	False	38-74 (D2-D5)	mxl	Piano	57-74 (A3-D5)	Piano	38-66 (D2-F#4)												
021	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	184	55	0	0	0	J. S. Bach	"Chorale 21:
Befiehl du deine Wege (melody #1)"		"Chorale 21:
Befiehl du deine Wege (melody #1)"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/021.mscz	False	43-74 (G2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	43-64 (G2-E4)												
022	1: 4/4	1: 0	15	15	60.0	20	20	80.0		240.0	258	88	0	0	0	J. S. Bach	"Chorale 22:
Schmücke dich, o liebe Seele"		"Chorale 22:
Schmücke dich, o liebe Seele"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/022.mscz	False	39-75 (Eb2-Eb5)	mxl	Piano	58-75 (Bb3-Eb5)	Piano	39-65 (Eb2-F4)												
023	1: 4/4	1: 0	14	13	48.0	19	18	64.0		188.0	196	62	0	0	0	J. S. Bach	"Chorale 23:
Helft mir Gotts Güte preisen"		"Chorale 23:
Helft mir Gotts Güte preisen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/023.mscz	False	43-76 (G2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	43-65 (G2-F4)												
024	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	215	72	0	0	0	J. S. Bach	"Chorale 24:
Valet will ich dir geben"		"Chorale 24:
Valet will ich dir geben"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/024.mscz	False	38-78 (D2-F#5)	mxl	Piano	57-78 (A3-F#5)	Piano	38-69 (D2-A4)												
025	1: 4/4	1: 0	13	12	48.0	13	12	48.0		184.0	205	73	0	0	0	J. S. Bach	"Chorale 25:
Wo soll ich fliehen hin"		"Chorale 25:
Wo soll ich fliehen hin"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/025.mscz	False	41-75 (F2-Eb5)	mxl	Piano	60-75 (C4-Eb5)	Piano	41-65 (F2-F4)												
026	1: 4/4	1: 0	12	11	40.0	19	18	64.0		160.0	183	60	0	0	0	J. S. Bach	"Chorale 26:
O Ewigkeit, du Donnerwort"		"Chorale 26:
O Ewigkeit, du Donnerwort"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/026.mscz	False	41-77 (F2-F5)	mxl	Piano	60-77 (C4-F5)	Piano	41-65 (F2-F4)												
027	1: 4/4	1: 0	12	11	40.0	17	16	56.0		160.0	189	67	0	0	0	J. S. Bach	"Chorale 27:
Es spricht der Unweisen Mund wohl"		"Chorale 27:
Es spricht der Unweisen Mund wohl"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/027.mscz	False	41-77 (F2-F5)	mxl	Piano	60-77 (C4-F5)	Piano	41-67 (F2-G4)												
028	1: 4/4	1: 0	8	8	32.0	8	8	32.0		128.0	150	54	0	0	0	J. S. Bach	"Chorale 28:
Nun komm, der Heiden Heiland"		"Chorale 28:
Nun komm, der Heiden Heiland"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/028.mscz	False	47-78 (B2-F#5)	mxl	Piano	62-78 (D4-F#5)	Piano	47-67 (B2-G4)												
029	1: 4/4	1: 0	13	13	52.0	17	17	68.0		208.0	215	76	0	0	0	J. S. Bach	"Chorale 29:
Freu dich sehr, o meine Seele"		"Chorale 29:
Freu dich sehr, o meine Seele"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/029.mscz	False	43-76 (G2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	43-64 (G2-E4)												
030	1: 4/4	1: 0	12	12	47.0	12	12	47.0		184.0	214	79	0	0	0	J. S. Bach	"Chorale 30:
Jesus Christus, unser Heiland, der von uns"		"Chorale 30:
Jesus Christus, unser Heiland, der von uns"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/030.mscz	False	40-76 (E2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	40-64 (E2-E4)												
031	1: 4/4	1: 0	12	11	40.0	17	16	56.0		160.0	207	71	0	0	0	J. S. Bach	"Chorale 31:
Wo Gott der Herr nicht bei uns hält"		"Chorale 31:
Wo Gott der Herr nicht bei uns hält"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/031.mscz	False	43-77 (G2-F5)	mxl	Piano	62-77 (D4-F5)	Piano	43-65 (G2-F4)												
032	1: 4/4	1: 0	14	13	48.0	19	18	64.0		176.0	189	67	0	0	0	J. S. Bach	"Chorale 32:
Nun danket alle Gott"		"Chorale 32:
Nun danket alle Gott"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/032.mscz	False	40-78 (E2-F#5)	mxl	Piano	64-78 (E4-F#5)	Piano	40-67 (E2-G4)												
033	1: 4/4	1: 0	9	9	36.0	13	13	52.0		140.0	181	62	0	0	0	J. S. Bach	"Chorale 33:
Herr, ich habe missgehandelt"		"Chorale 33:
Herr, ich habe missgehandelt"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/033.mscz	False	40-79 (E2-G5)	mxl	Piano	57-79 (A3-G5)	Piano	40-67 (E2-G4)												
034	1: 4/4	1: 0	15	14	52.0	20	19	68.0		208.0	288	107	0	0	0	J. S. Bach	"Chorale 34:
Erbarm dich mein, o Herre Gott"		"Chorale 34:
Erbarm dich mein, o Herre Gott"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/034.mscz	False	36-72 (C2-C5)	mxl	Piano	55-72 (G3-C5)	Piano	36-67 (C2-G4)												
035	1: 4/4	1: 0	8	8	32.0	12	12	48.0		128.0	170	58	0	0	0	J. S. Bach	"Chorale 35:
Gott des Himmels und der Erden"		"Chorale 35:
Gott des Himmels und der Erden"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/035.mscz	False	40-76 (E2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	40-64 (E2-E4)												
036	1: 4/4	1: 0	15	14	56.0	15	14	56.0		220.0	236	79	0	0	0	J. S. Bach	"Chorale 36:
Nun bitten wir den Heiligen Geist"		"Chorale 36:
Nun bitten wir den Heiligen Geist"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/036.mscz	False	40-78 (E2-F#5)	mxl	Piano	59-78 (B3-F#5)	Piano	40-68 (E2-G#4)												
037	1: 4/4	1: 0	12	12	48.0	16	16	64.0		192.0	241	81	0	0	0	J. S. Bach	"Chorale 37:
Jesu, der du meine Seele"		"Chorale 37:
Jesu, der du meine Seele"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/037.mscz	False	43-77 (G2-F5)	mxl	Piano	60-77 (C4-F5)	Piano	43-67 (G2-G4)												
038	1: 4/4	1: 0	10	10	40.0	14	14	56.0		160.0	175	62	0	0	0	J. S. Bach	"Chorale 38:
Straf mich nicht in deinem Zorn"		"Chorale 38:
Straf mich nicht in deinem Zorn"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/038.mscz	False	39-75 (Eb2-Eb5)	mxl	Piano	58-75 (Bb3-Eb5)	Piano	39-62 (Eb2-D4)												
039	1: 4/4	1: 0	12	12	48.0	12	12	48.0		192.0	233	84	0	0	0	J. S. Bach	"Chorale 39:
Ach, was soll ich Sünder machen"		"Chorale 39:
Ach, was soll ich Sünder machen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/039.mscz	False	38-76 (D2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	38-64 (D2-E4)												
040	1: 4/4	1: 0	9	8	32.0	9	8	32.0		128.0	142	44	0	0	0	J. S. Bach	"Chorale 40:
Ach Gott und Herr"		"Chorale 40:
Ach Gott und Herr"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/040.mscz	False	43-77 (G2-F5)	mxl	Piano	60-77 (C4-F5)	Piano	43-67 (G2-G4)												
041	1: 4/4	1: 0	16	15	56.0	22	21	76.0		224.0	253	89	0	0	0	J. S. Bach	"Chorale 41:
Was mein Gott will, das gscheh allzeit"		"Chorale 41:
Was mein Gott will, das gscheh allzeit"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/041.mscz	False	43-74 (G2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	43-65 (G2-F4)												
042	1: 4/4	1: 0	11	10	36.0	16	15	52.0		144.0	132	38	0	0	0	J. S. Bach	"Chorale 42:
Du Du Friedefürst, Herr Jesu Christ"		"Chorale 42:
Du Du Friedefürst, Herr Jesu Christ"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/042.mscz	False	42-76 (F#2-E5)	mxl	Piano	64-76 (E4-E5)	Piano	42-66 (F#2-F#4)												
043	1: 4/4	1: 0	17	17	69.0	23	23	93.0		218.0	239	102	0	0	0	J. S. Bach	"Chorale 43:
Liebster Gott, wenn werd ich sterben"		"Chorale 43:
Liebster Gott, wenn werd ich sterben"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/043.mscz	False	40-76 (E2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	40-69 (E2-A4)												
044	1: 4/4	1: 0	10	9	32.0	15	14	48.0		128.0	155	53	0	0	0	J. S. Bach	"Chorale 44:
Machs mit mir, Gott, nach deiner Güt"		"Chorale 44:
Machs mit mir, Gott, nach deiner Güt"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/044.mscz	False	38-74 (D2-D5)	mxl	Piano	57-74 (A3-D5)	Piano	38-66 (D2-F#4)												
045	1: 4/4	1: 0	14	13	52.0	14	13	52.0		208.0	292	98	0	0	0	J. S. Bach	"Chorale 45:
Kommt her zu mir, spricht Gottes Sohn"		"Chorale 45:
Kommt her zu mir, spricht Gottes Sohn"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/045.mscz	False	40-78 (E2-F#5)	mxl	Piano	62-78 (D4-F#5)	Piano	40-67 (E2-G4)												
046	1: 4/4	1: 0	9	8	32.0	9	8	32.0		128.0	178	58	0	0	0	J. S. Bach	"Chorale 46:
Vom Himmel hoch da komm ich her"		"Chorale 46:
Vom Himmel hoch da komm ich her"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/046.mscz	False	38-74 (D2-D5)	mxl	Piano	57-74 (A3-D5)	Piano	38-66 (D2-F#4)												
047	1: 4/4	1: 0	13	12	48.0	13	12	48.0		192.0	217	70	0	0	0	J. S. Bach	"Chorale 47:
Vater unser im Himmelreich"		"Chorale 47:
Vater unser im Himmelreich"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/047.mscz	False	41-77 (F2-F5)	mxl	Piano	57-77 (A3-F5)	Piano	41-64 (F2-E4)												
048	1: 4/4	1: 0	10	10	40.0	10	10	40.0		160.0	189	63	0	0	0	J. S. Bach	"Chorale 48:
Ach wie flüchtig, ach wie nichtig"		"Chorale 48:
Ach wie flüchtig, ach wie nichtig"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/048.mscz	False	36-77 (C2-F5)	mxl	Piano	59-77 (B3-F5)	Piano	36-65 (C2-F4)												
049	1: 4/4	1: 0	13	12	49.0	13	12	49.0		196.0	235	82	0	0	0	J. S. Bach	"Chorale 49:
Mit Fried und Freud ich fahr dahin"		"Chorale 49:
Mit Fried und Freud ich fahr dahin"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/049.mscz	False	38-74 (D2-D5)	mxl	Piano	57-74 (A3-D5)	Piano	38-65 (D2-F4)												
050	1: 4/4	1: 0	13	12	48.0	13	12	48.0		192.0	218	75	0	0	0	J. S. Bach	"Chorale 50:
O Welt, ich muss dich lassen"		"Chorale 50:
O Welt, ich muss dich lassen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/050.mscz	False	41-72 (F2-C5)	mxl	Piano	55-72 (G3-C5)	Piano	41-65 (F2-F4)												
051	1: 4/4	1: 0	11	10	40.0	11	10	40.0		160.0	199	68	0	0	0	J. S. Bach	"Chorale 51:
Gelobet seist du, Jesu Christ"		"Chorale 51:
Gelobet seist du, Jesu Christ"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/051.mscz	False	36-76 (C2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	36-67 (C2-G4)												
052	1: 4/4	1: 0	16	15	60.0	16	15	60.0		240.0	291	108	0	0	0	J. S. Bach	"Chorale 52:
Wenn mein Stündlein vorhanden ist"		"Chorale 52:
Wenn mein Stündlein vorhanden ist"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/052.mscz	False	40-76 (E2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	40-68 (E2-G#4)												
053	1: 3/4	1: 0	16	16	48.0	16	16	48.0		192.0	156	49	0	0	0	J. S. Bach	"Chorale 53:
Das neugeborne Kindelein"		"Chorale 53:
Das neugeborne Kindelein"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/053.mscz	False	38-79 (D2-G5)	mxl	Piano	62-79 (D4-G5)	Piano	38-67 (D2-G4)												
054	1: 4/4	1: 0	11	10	40.0	11	10	40.0		156.0	169	54	0	0	0	J. S. Bach	"Chorale 54:
Kommt her, ihr lieben Schwesterlein"		"Chorale 54:
Kommt her, ihr lieben Schwesterlein"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/054.mscz	False	43-76 (G2-E5)	mxl	Piano	62-76 (D4-E5)	Piano	43-64 (G2-E4)												
055	1: 4/4	1: 0	12	11	40.0	14	13	44.0		160.0	187	64	0	0	0	J. S. Bach	"Chorale 55:
Wir Christenleut habn jetzund Freud"		"Chorale 55:
Wir Christenleut habn jetzund Freud"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/055.mscz	False	42-78 (F#2-F#5)	mxl	Piano	62-78 (D4-F#5)	Piano	42-66 (F#2-F#4)												
