mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
4	4	29/2	29/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		-4	68	Ab4	4	52
4	4	29/2	29/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		-1	77	F5	5	47
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	57
4	4	15	15	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-3	63	Eb4	4	63
4	4	15	15	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-2	70	Bb4	4	53
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	79	G5	5	48
5	5	16	16	0.5	0	0	4/4	2	2	1/8	1/8	1		2	62	D4	4	78
5	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	65	F4	4	73
5	5	16	16	1.0	0	0	4/4	1	2	1/4	1/4	1		-2	70	Bb4	4	68
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		-1	77	F5	5	64
5	5	33/2	33/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		0	60	C4	4	79
5	5	17	17	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	80
5	5	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	74
5	5	17	17	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1	1	0	72	C5	5	69
5	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	65
5	5	35/2	35/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	81
5	5	18	18	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	82
5	5	18	18	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1	1	-1	65	F4	4	75
5	5	18	18	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	0	72	C5	5	70
5	5	18	18	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	66
5	5	37/2	37/2	1.0	5/8	5/8	4/4	1	2	1/4	1/4	1		-2	70	Bb4	4	71
5	5	19	19	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-1	53	F3	3	83
5	5	19	19	0.75	3/4	3/4	4/4	2	1	3/16	1/8	3/2	-1	-1	65	F4	4	76
5	5	19	19	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	67
5	5	39/2	39/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	72
5	5	79/4	79/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		-3	63	Eb4	4	77
6	6	20	20	2.0	0	0	4/4	2	2	1/2	1/2	1		-2	46	Bb2	2	90
6	6	20	20	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	88
6	6	20	20	2.0	0	0	4/4	1	2	1/2	1/2	1		-1	65	F4	4	86
6	6	20	20	2.0	0	0	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	84
6	6	23	23	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	91
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	89
6	6	23	23	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	87
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	85
6	6	47/2	47/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-5	49	Db3	3	92
7	7	24	24	0.5	0	0	4/4	2	2	1/8	1/8	1		0	48	C3	3	105
7	7	24	24	1.5	0	0	4/4	2	1	3/8	1/4	3/2		-3	63	Eb4	4	101
7	7	24	24	1.0	0	0	4/4	1	2	1/4	1/4	1		-4	68	Ab4	4	97
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	93
7	7	49/2	49/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	106
7	7	25	25	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	107
7	7	25	25	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	98
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	94
7	7	51/2	51/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-5	61	Db4	4	102
7	7	26	26	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		-4	44	Ab2	2	108
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	103
7	7	26	26	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	99
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	95
