mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
10	10	27	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	79
10	10	27	27	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1	1	-2	58	Bb3	3	81
10	10	27	27	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		-1	65	F4	4	77
10	10	27	27	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	75
11	11	28	28	1.0	0	0	3/4	2	2	1/4	1/4	1	-1	-2	58	Bb3	3	90
11	11	28	28	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	87
11	11	28	28	1.0	0	0	3/4	1	2	1/4	1/4	1		4	64	E4	4	84
11	11	28	28	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	82
11	11	29	29	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		3	57	A3	3	91
11	11	29	29	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	88
11	11	29	29	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		-1	65	F4	4	85
11	11	30	30	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1	1	1	55	G3	3	92
11	11	30	30	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	89
11	11	30	30	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	86
11	11	30	30	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	83
12	12	31	31	1.0	0	0	3/4	2	2	1/4	1/4	1	-1	1	55	G3	3	103
12	12	31	31	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	100
12	12	31	31	1.0	0	0	3/4	1	2	1/4	1/4	1		7	61	C#4	4	97
12	12	31	31	1.5	0	0	3/4	1	1	3/8	1/4	3/2		3	69	A4	4	93
12	12	32	32	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-1	53	F3	3	104
12	12	32	32	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	101
12	12	32	32	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		2	62	D4	4	98
12	12	65/2	65/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	94
12	12	33	33	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	E3	3	105
12	12	33	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		7	61	C#4	4	102
12	12	33	33	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		4	64	E4	4	99
12	12	33	33	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	69	A4	4	95
12	12	67/2	67/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	96
13	13	34	34	2.0	0	0	3/4	2	2	1/2	1/2	1		2	50	D3	3	112
13	13	34	34	2.0	0	0	3/4	1	2	1/2	1/2	1		3	57	A3	3	108
13	13	34	34	2.0	0	0	3/4	2	1	1/2	1/2	1		2	62	D4	4	110
