mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
3	3	6	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1.0		-2	58	Bb3	3	27
3	3	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1.0		-2	58	Bb3	3	22
3	3	6	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1.0		2	62	D4	4	20
3	3	6	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1.0		-1	65	F4	4	18
3	3	13/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1.0		3	57	A3	3	28
4	4	7	0.5	0	0	3/4	2	2	1/8	1/8	1.0		1	55	G3	3	36
4	4	7	2.0	0	0	3/4	2	1	1/2	1/2	1.0		-2	58	Bb3	3	34
4	4	7	1.0	0	0	3/4	1	2	1/4	1/4	1.0		2	62	D4	4	31
4	4	7	1.0	0	0	3/4	1	1	1/4	1/4	1.0		-2	70	Bb4	4	29
4	4	15/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1.0		-1	53	F3	3	37
4	4	8	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1.0		-3	51	Eb3	3	38
4	4	8	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1.0		1	67	G4	4	32
4	4	8	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1.0		0	72	C5	5	30
4	4	17/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1.0		2	50	D3	3	39
4	4	9	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1.0		-3	51	Eb3	3	40
4	4	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1.0		3	57	A3	3	35
4	4	9	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1.0		-1	65	F4	4	33
4	4	19/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1.0		-1	53	F3	3	41
5	5	10	2.0	0	0	3/4	2	2	1/2	1/2	1.0		-2	46	Bb2	2	48
5	5	10	2.0	0	0	3/4	2	1	1/2	1/2	1.0		-2	58	Bb3	3	46
5	5	10	2.0	0	0	3/4	1	2	1/2	1/2	1.0		-1	65	F4	4	44
5	5	10	2.0	0	0	3/4	1	1	1/2	1/2	1.0		2	74	D5	5	42
5	5	12	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1.0		6	42	F#2	2	49
5	5	12	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1.0		3	57	A3	3	47
5	5	12	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1.0		3	69	A4	4	45
5	5	12	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1.0		2	74	D5	5	43
6	6	13	0.5	0	0	3/4	2	2	1/8	1/8	1.0		1	43	G2	2	56
6	6	13	2.0	0	0	3/4	2	1	1/2	1/2	1.0		-2	58	Bb3	3	54
6	6	13	2.0	0	0	3/4	1	2	1/2	1/2	1.0		1	67	G4	4	52
6	6	13	2.0	0	0	3/4	1	1	1/2	1/2	1.0		2	74	D5	5	50
6	6	27/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1.0		2	50	D3	3	57
6	6	14	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1.0		1	55	G3	3	58
6	6	29/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1.0		-1	53	F3	3	59
6	6	15	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1.0		-3	51	Eb3	3	60
6	6	15	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1.0		-2	58	Bb3	3	55
6	6	15	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1.0		1	67	G4	4	53
6	6	15	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1.0		2	74	D5	5	51
6	6	31/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1.0		2	50	D3	3	61
7	7	16	0.5	0	0	3/4	2	2	1/8	1/8	1.0		-3	51	Eb3	3	70
7	7	16	1.0	0	0	3/4	2	1	1/4	1/4	1.0		-2	58	Bb3	3	67
7	7	16	1.0	0	0	3/4	1	2	1/4	1/4	1.0		1	67	G4	4	64
7	7	16	2.0	0	0	3/4	1	1	1/2	1/2	1.0		0	72	C5	5	62
7	7	33/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1.0		0	48	C3	3	71
7	7	17	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1.0		-1	53	F3	3	72
7	7	17	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1.0		3	57	A3	3	68
7	7	17	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1.0		-1	65	F4	4	65
7	7	35/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1.0		-3	51	Eb3	3	73
7	7	18	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1.0		2	50	D3	3	74
7	7	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1.0		-2	58	Bb3	3	69
7	7	18	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1.0		-1	65	F4	4	66
7	7	18	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1.0		2	74	D5	5	63
7	7	37/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1.0		0	48	C3	3	75
8	8	19	0.5	0	0	3/4	2	2	1/8	1/8	1.0		-2	46	Bb2	2	82
8	8	19	1.0	0	0	3/4	2	1	1/4	1/4	1.0		0	60	C4	4	80
8	8	19	1.0	0	0	3/4	1	2	1/4	1/4	1.0		-1	65	F4	4	78
8	8	19	1.0	0	0	3/4	1	1	1/4	1/4	1.0		-3	75	Eb5	5	76
8	8	39/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1.0		3	45	A2	2	83
8	8	20	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1.0		-2	46	Bb2	2	84
8	8	20	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1.0		-2	58	Bb3	3	81
8	8	20	2.0	1/4	1/4	3/4	1	2	1/2	1/2	1.0		-1	65	F4	4	79
8	8	20	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1.0		2	74	D5	5	77
8	8	41/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1.0		0	48	C3	3	85
8	8	21	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1.0		2	50	D3	3	86
8	8	43/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1.0		-3	51	Eb3	3	87
