mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
4	4	12	12	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	57
4	4	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	52
4	4	25/2	25/2	0.25	7/8	7/8	4/4	1	2	1/16	1/16	1		6	66	F#4	4	58
4	4	51/4	51/4	0.25	15/16	15/16	4/4	1	2	1/16	1/16	1		4	64	E4	4	59
5	5	13	13	3.0	0	0	4/4	2	2	3/4	1/2	3/2		5	47	B2	2	72
5	5	13	13	3.0	0	0	4/4	2	1	3/4	1/2	3/2		6	54	F#3	3	71
5	5	13	13	3.0	0	0	4/4	1	2	3/4	1/2	3/2		2	62	D4	4	70
5	5	13	13	3.0	0	0	4/4	1	1	3/4	1/2	3/2		6	66	F#4	4	69
6	6	16	16	0.5	0	3/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	76
6	6	16	16	1.0	0	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	75
6	6	16	16	1.0	0	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	74
6	6	16	16	1.0	0	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	73
6	6	33/2	33/2	0.5	1/8	7/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	77
7	7	17	17	0.5	0	0	4/4	2	2	1/8	1/8	1		1	43	G2	2	96
7	7	17	17	0.5	0	0	4/4	2	1	1/8	1/8	1		4	64	E4	4	87
7	7	17	17	1.0	0	0	4/4	1	2	1/4	1/4	1		5	71	B4	4	83
7	7	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	78
7	7	35/2	35/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	97
7	7	35/2	35/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		6	66	F#4	4	88
7	7	18	18	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	98
7	7	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	89
7	7	18	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	84
7	7	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	79
7	7	37/2	37/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	99
7	7	19	19	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	100
7	7	19	19	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		6	66	F#4	4	90
7	7	19	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	85
7	7	19	19	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		2	74	D5	5	80
7	7	39/2	39/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		4	64	E4	4	91
7	7	39/2	39/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		4	76	E5	5	81
7	7	79/4	79/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		2	62	D4	4	92
7	7	20	20	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	101
7	7	20	20	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	93
7	7	20	20	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	86
7	7	20	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	82
7	7	41/2	41/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		6	66	F#4	4	94
7	7	83/4	83/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		1	67	G4	4	95
8	8	21	21	3.0	0	0	4/4	2	2	3/4	1/2	3/2		2	50	D3	3	108
8	8	21	21	3.0	0	0	4/4	2	1	3/4	1/2	3/2		6	66	F#4	4	106
8	8	21	21	3.0	0	0	4/4	1	2	3/4	1/2	3/2		3	69	A4	4	104
8	8	21	21	3.0	0	0	4/4	1	1	3/4	1/2	3/2		2	74	D5	5	102
8	8	24	24	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		3	57	A3	3	109
8	8	24	24	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	107
8	8	24	24	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	105
8	8	24	24	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	103
8	8	49/2	49/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	110
9	9	25	25	0.5	0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	124
9	9	25	25	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	119
9	9	25	25	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	115
9	9	25	25	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	111
9	9	51/2	51/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	125
9	9	26	26	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	126
9	9	26	26	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	120
9	9	26	26	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	116
9	9	26	26	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	112
9	9	53/2	53/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	127
9	9	27	27	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	D3	3	128
9	9	27	27	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	62	D4	4	121
9	9	27	27	1.5	1/2	1/2	4/4	1	2	3/8	1/4	3/2		3	69	A4	4	117
9	9	27	27	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	78	F#5	5	113
9	9	55/2	55/2	0.25	5/8	5/8	4/4	2	2	1/16	1/16	1		4	52	E3	3	129
9	9	55/2	55/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	122
9	9	111/4	111/4	0.25	11/16	11/16	4/4	2	2	1/16	1/16	1		6	54	F#3	3	130
9	9	28	28	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	131
9	9	28	28	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	123
9	9	28	28	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	114
9	9	57/2	57/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	118
10	10	29	29	0.5	0	0	4/4	2	2	1/8	1/8	1		7	49	C#3	3	149
10	10	29	29	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	143
10	10	29	29	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4	138
10	10	29	29	1.5	0	0	4/4	1	1	3/8	1/4	3/2		4	76	E5	5	132
10	10	59/2	59/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	150
10	10	59/2	59/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	139
10	10	30	30	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	151
10	10	30	30	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		5	59	B3	3	144
10	10	30	30	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	140
10	10	121/4	121/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		3	57	A3	3	145
10	10	61/2	61/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	146
10	10	61/2	61/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	133
10	10	31	31	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	45	A2	2	152
10	10	31	31	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	147
10	10	31	31	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	141
10	10	31	31	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73	C#5	5	134
10	10	32	32	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		10	46	A#2	2	153
10	10	32	32	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	148
10	10	32	32	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	142
10	10	32	32	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		7	73	C#5	5	135
10	10	65/2	65/2	0.25	7/8	7/8	4/4	1	1	1/16	1/16	1		2	74	D5	5	136
10	10	131/4	131/4	0.25	15/16	15/16	4/4	1	1	1/16	1/16	1		4	76	E5	5	137
11	11	33	33	0.5	0	0	4/4	2	2	1/8	1/8	1		5	47	B2	2	174
11	11	33	33	0.5	0	0	4/4	2	1	1/8	1/8	1		7	61	C#4	4	166
11	11	33	33	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	161
11	11	33	33	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	154
11	11	67/2	67/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	167
11	11	67/2	67/2	1.0	1/8	1/8	4/4	2	2	1/4	1/4	1		5	59	B3	3	175
11	11	34	34	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	168
11	11	34	34	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	162
11	11	34	34	0.75	1/4	1/4	4/4	1	1	3/16	1/8	3/2		7	73	C#5	5	155
11	11	69/2	69/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	176
11	11	69/2	69/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		9	63	D#4	4	169
11	11	139/4	139/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		5	71	B4	4	156
11	11	35	35	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		1	55	G3	3	177
11	11	35	35	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4	170
11	11	35	35	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		1	67	G4	4	163
11	11	35	35	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	157
11	11	71/2	71/2	0.25	5/8	5/8	4/4	2	2	1/16	1/16	1		3	57	A3	3	178
11	11	71/2	71/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		9	63	D#4	4	171
11	11	71/2	71/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	164
11	11	143/4	143/4	0.25	11/16	11/16	4/4	2	2	1/16	1/16	1		5	59	B3	3	179
11	11	36	36	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	180
11	11	36	36	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	172
11	11	36	36	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	165
11	11	36	36	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	158
11	11	73/2	73/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	173
11	11	73/2	73/2	0.25	7/8	7/8	4/4	1	1	1/16	1/16	1		7	73	C#5	5	159
11	11	147/4	147/4	0.25	15/16	15/16	4/4	1	1	1/16	1/16	1		2	74	D5	5	160
12	12	37	37	0.5	0	0	4/4	2	2	1/8	1/8	1		-1	53	F3	3	198
12	12	37	37	0.5	0	0	4/4	2	1	1/8	1/8	1		8	56	G#3	3	191
12	12	37	37	0.5	0	0	4/4	1	2	1/8	1/8	1		8	68	G#4	4	185
12	12	37	37	1.5	0	0	4/4	1	1	3/8	1/4	3/2		7	73	C#5	5	181
12	12	75/2	75/2	0.25	1/8	1/8	4/4	2	2	1/16	1/16	1		6	54	F#3	3	199
12	12	75/2	75/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		3	57	A3	3	192
12	12	75/2	75/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	186
12	12	151/4	151/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		8	56	G#3	3	200
12	12	151/4	151/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		5	59	B3	3	193
12	12	38	38	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	201
12	12	38	38	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	194
12	12	38	38	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	187
12	12	77/2	77/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	182
12	12	39	39	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	F#3	3	202
12	12	39	39	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	195
12	12	39	39	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	188
12	12	39	39	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	183
12	12	40	40	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	203
12	12	40	40	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	196
12	12	40	40	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	189
12	12	40	40	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	184
12	12	81/2	81/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	204
12	12	81/2	81/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	197
12	12	81/2	81/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	190
13	13	41	41	0.5	0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	228
13	13	41	41	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	220
13	13	41	41	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4	210
13	13	41	41	1.0	0	0	4/4	1	1	1/4	1/4	1		6	66	F#4	4	205
13	13	83/2	83/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	229
13	13	83/2	83/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	211
13	13	42	42	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	230
13	13	42	42	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	221
13	13	42	42	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	212
13	13	42	42	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	206
13	13	85/2	85/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	231
13	13	85/2	85/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	222
13	13	85/2	85/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	213
13	13	43	43	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		6	54	F#3	3	232
13	13	43	43	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	62	D4	4	223
13	13	43	43	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		6	66	F#4	4	214
13	13	43	43	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	207
13	13	87/2	87/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	233
13	13	87/2	87/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		4	64	E4	4	224
13	13	87/2	87/2	0.25	5/8	5/8	4/4	1	2	1/16	1/16	1		1	67	G4	4	215
13	13	87/2	87/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	208
13	13	175/4	175/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		2	62	D4	4	225
13	13	175/4	175/4	0.25	11/16	11/16	4/4	1	2	1/16	1/16	1		6	66	F#4	4	216
13	13	44	44	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	234
13	13	44	44	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	226
13	13	44	44	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	217
13	13	44	44	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		10	70	A#4	4	209
13	13	89/2	89/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	227
13	13	89/2	89/2	0.25	7/8	7/8	4/4	1	2	1/16	1/16	1		6	66	F#4	4	218
13	13	179/4	179/4	0.25	15/16	15/16	4/4	1	2	1/16	1/16	1		4	64	E4	4	219
14	14	45	45	3.0	0	0	4/4	2	2	3/4	1/2	3/2		5	47	B2	2	238
14	14	45	45	3.0	0	0	4/4	2	1	3/4	1/2	3/2		6	54	F#3	3	237
14	14	45	45	3.0	0	0	4/4	1	2	3/4	1/2	3/2		9	63	D#4	4	236
14	14	45	45	3.0	0	0	4/4	1	1	3/4	1/2	3/2		5	71	B4	4	235
