mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
7	7	17	0.5	1/4	1/4	3/4	1	2	1/8		1/8	1		-2	70	Bb4	4	79
7	7	17	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	74
7	7	35/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	80
7	7	35/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	75
7	7	18	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		2	50	D3	3	87
7	7	18	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	84
7	7	18	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	81
7	7	18	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	D5	5	76
7	7	37/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	77
8	8	19	1.0	0	0	3/4	2	2	1/4		1/4	1		0	48	C3	3	101
8	8	19	1.0	0	0	3/4	2	1	1/4		1/4	1		0	60	C4	4	97
8	8	19	1.0	0	0	3/4	1	2	1/4		1/4	1		-3	63	Eb4	4	92
8	8	19	0.5	0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	88
8	8	39/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	89
8	8	20	0.5	1/4	1/4	3/4	2	2	1/8		1/8	1		2	50	D3	3	102
8	8	20	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	98
8	8	20	0.5	1/4	1/4	3/4	1	2	1/8		1/8	1		-1	65	F4	4	93
8	8	20	1.5	1/4	1/4	3/4	1	1	3/8		1/4	3/2		-2	70	Bb4	4	90
8	8	41/2	0.5	3/8	3/8	3/4	2	2	1/8		1/8	1		0	48	C3	3	103
8	8	41/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		-3	63	Eb4	4	94
8	8	21	0.5	1/2	1/2	3/4	2	2	1/8		1/8	1		2	50	D3	3	104
8	8	21	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		-1	53	F3	3	99
8	8	21	0.5	1/2	1/2	3/4	1	2	1/8		1/8	1		-1	65	F4	4	95
8	8	43/2	0.5	5/8	5/8	3/4	2	2	1/8		1/8	1		-2	46	Bb2	2	105
8	8	43/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		1	55	G3	3	100
8	8	43/2	0.5	5/8	5/8	3/4	1	2	1/8		1/8	1		4	64	E4	4	96
8	8	43/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	91
9	9	22	2.0	0	0	3/4	2	2	1/2		1/2	1		-1	41	F2	2	109
9	9	22	2.0	0	0	3/4	2	1	1/2		1/2	1		3	57	A3	3	108
9	9	22	2.0	0	0	3/4	1	2	1/2		1/2	1		-1	65	F4	4	107
9	9	22	2.0	0	0	3/4	1	1	1/2		1/2	1		0	72	C5	5	106
10	10	24	0.5	0	1/2	3/4	2	2	1/8		1/8	1		-1	53	F3	3	113
10	10	24	1.0	0	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	112
10	10	24	1.0	0	1/2	3/4	1	2	1/4		1/4	1		-1	65	F4	4	111
10	10	24	1.0	0	1/2	3/4	1	1	1/4		1/4	1		3	69	A4	4	110
10	10	49/2	0.5	1/8	5/8	3/4	2	2	1/8		1/8	1		-3	51	Eb3	3	114
11	11	25	1.0	0	0	3/4	2	2	1/4		1/4	1		2	50	D3	3	123
11	11	25	1.0	0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	120
11	11	25	2.0	0	0	3/4	1	2	1/2		1/2	1		-1	65	F4	4	118
11	11	25	1.0	0	0	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	115
11	11	26	0.5	1/4	1/4	3/4	2	2	1/8		1/8	1		-3	51	Eb3	3	124
11	11	26	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	121
11	11	26	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	116
11	11	53/2	0.5	3/8	3/8	3/4	2	2	1/8		1/8	1		2	50	D3	3	125
11	11	27	0.5	1/2	1/2	3/4	2	2	1/8		1/8	1		0	48	C3	3	126
11	11	27	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	122
11	11	27	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-1	65	F4	4	119
11	11	27	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74	D5	5	117
11	11	55/2	0.5	5/8	5/8	3/4	2	2	1/8		1/8	1		-2	46	Bb2	2	127
12	12	28	1.5	0	0	3/4	2	2	3/8		1/4	3/2		-3	51	Eb3	3	140
12	12	28	1.5	0	0	3/4	2	1	3/8		1/4	3/2		-2	58	Bb3	3	137
12	12	28	1.5	0	0	3/4	1	2	3/8		1/4	3/2		-3	63	Eb4	4	133
12	12	28	1.0	0	0	3/4	1	1	1/4		1/4	1		1	67	G4	4	128
12	12	29	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		1	79	G5	5	129
12	12	59/2	0.5	3/8	3/8	3/4	2	2	1/8		1/8	1		-3	51	Eb3	3	141
12	12	59/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-2	58	Bb3	3	138
12	12	59/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		1	67	G4	4	134
12	12	59/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	130
12	12	30	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1	1	-4	56	Ab3	3	142
12	12	30	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1	1	0	60	C4	4	139
12	12	30	0.5	1/2	1/2	3/4	1	2	1/8		1/8	1		-3	63	Eb4	4	135
12	12	30	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72	C5	5	131
12	12	61/2	0.5	5/8	5/8	3/4	1	2	1/8		1/8	1		2	62	D4	4	136
12	12	61/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	132
13	13	31	0.5	0	0	3/4	2	2	1/8		1/8	1	-1	-4	56	Ab3	3	154
13	13	31	0.5	0	0	3/4	2	1	1/8		1/8	1	-1	0	60	C4	4	150
13	13	31	1.0	0	0	3/4	1	2	1/4		1/4	1		-3	63	Eb4	4	147
13	13	31	0.5	0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	143
13	13	63/2	0.5	1/8	1/8	3/4	2	2	1/8		1/8	1		1	55	G3	3	155
13	13	63/2	0.5	1/8	1/8	3/4	2	1	1/8		1/8	1		0	60	C4	4	151
13	13	63/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	144
13	13	32	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		-1	53	F3	3	156
13	13	32	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	152
13	13	32	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		-4	68	Ab4	4	148
13	13	32	1.5	1/4	1/4	3/4	1	1	3/8		1/4	3/2		2	74	D5	5	145
13	13	33	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		1	55	G3	3	157
13	13	33	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	B3	3	153
13	13	33	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		1	67	G4	4	149
13	13	67/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	146
14	14	34	2.0	0	0	3/4	2	2	1/2		1/2	1		0	48	C3	3	164
14	14	34	2.0	0	0	3/4	2	1	1/2		1/2	1		0	60	C4	4	162
14	14	34	2.0	0	0	3/4	1	2	1/2		1/2	1		1	67	G4	4	160
14	14	34	2.0	0	0	3/4	1	1	1/2		1/2	1		-3	75	Eb5	5	158
14	14	36	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-3	51	Eb3	3	165
14	14	36	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	163
14	14	36	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		1	67	G4	4	161
14	14	36	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		0	72	C5	5	159
15	15	37	0.0	0	0	3/4	1	1	0	appoggiatura	1/8	1		-2	70	Bb4	4	166
15	15	37	2.0	0	0	3/4	2	2	1/2		1/2	1		-1	53	F3	3	177
15	15	37	2.0	0	0	3/4	2	1	1/2		1/2	1		0	60	C4	4	175
15	15	37	1.0	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	172
15	15	37	1.0	0	0	3/4	1	1	1/4		1/4	1		3	69	A4	4	167
15	15	38	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		1	67	G4	4	173
15	15	38	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	168
15	15	77/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	169
15	15	39	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-3	51	Eb3	3	178
15	15	39	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	176
15	15	39	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	G4	4	170
15	15	39	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		3	69	A4	4	174
15	15	79/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	65	F4	4	171
16	16	40	1.0	0	0	3/4	2	2	1/4		1/4	1		2	50	D3	3	188
16	16	40	1.5	0	0	3/4	2	1	3/8		1/4	3/2		2	62	D4	4	185
16	16	40	1.5	0	0	3/4	1	2	3/8		1/4	3/2		-2	70	Bb4	4	182
