mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	5	10	10	2.0	0	0	3/4	1	1	1/2	1/2	1		1	67	G4	4	36
5	5	12	12	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		3	45	A2	2	44
5	5	12	12	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	42
5	5	12	12	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1		4	64	E4	4	39
5	5	12	12	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	37
5	5	25/2	25/2	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		6	66	F#4	4	40
6	6	13	13	2.0	0	0	3/4	2	2	1/2	1/2	1		1	43	G2	2	54
6	6	13	13	1.5	0	0	3/4	2	1	3/8	1/4	3/2		2	62	D4	4	50
6	6	13	13	0.5	0	0	3/4	1	2	1/8	1/8	1		1	67	G4	4	47
6	6	13	13	2.0	0	0	3/4	1	1	1/2	1/2	1		-2	70	Bb4	4	45
6	6	27/2	27/2	0.5	1/8	1/8	3/4	1	2	1/8	1/8	1		6	66	F#4	4	48
6	6	14	14	2.0	1/4	1/4	3/4	1	2	1/2	1/2	1	1	1	67	G4	4	49
6	6	29/2	29/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		0	60	C4	4	51
6	6	15	15	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		-2	46	Bb2	2	55
6	6	15	15	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	52
6	6	15	15	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	46
6	6	31/2	31/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	53
7	7	16	16	2.0	0	0	3/4	2	2	1/2	1/2	1		-3	51	Eb3	3	66
7	7	16	16	0.5	0	0	3/4	2	1	1/8	1/8	1		1	55	G3	3	61
7	7	16	16	1.5	0	0	3/4	1	2	3/8	1/4	3/2	-1	1	67	G4	4	58
7	7	16	16	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	56
7	7	33/2	33/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	62
7	7	17	17	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		1	55	G3	3	63
7	7	35/2	35/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	64
7	7	35/2	35/2	0.5	3/8	3/8	3/4	1	2	1/8	1/8	1		6	66	F#4	4	59
7	7	18	18	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	67
7	7	18	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	65
7	7	18	18	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	60
7	7	18	18	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	57
8	8	19	19	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	76
8	8	19	19	1.0	0	0	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	71
8	8	19	19	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	69
8	8	19	19	3.0	0	0	3/4	1	1	3/4	1/2	3/2		3	69	A4	4	68
8	8	20	20	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		2	50	D3	3	77
8	8	20	20	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		2	62	D4	4	72
8	8	41/2	41/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	73
8	8	21	21	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	38	D2	2	78
8	8	21	21	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		2	62	D4	4	74
8	8	21	21	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		6	66	F#4	4	70
8	8	43/2	43/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		0	60	C4	4	75
9	9	22	22	2.0	0	0	3/4	2	2	1/2	1/2	1		1	43	G2	2	82
9	9	22	22	2.0	0	0	3/4	2	1	1/2	1/2	1		-2	58	Bb3	3	81
9	9	22	22	2.0	0	0	3/4	1	2	1/2	1/2	1		2	62	D4	4	80
9	9	22	22	2.0	0	0	3/4	1	1	1/2	1/2	1		1	67	G4	4	79
10	10	24	24	1.0	0	1/2	3/4	2	2	1/4	1/4	1		4	52	E3	3	87
10	10	24	24	0.5	0	1/2	3/4	2	1	1/8	1/8	1		0	60	C4	4	85
10	10	24	24	1.0	0	1/2	3/4	1	2	1/4	1/4	1	1	1	67	G4	4	84
10	10	24	24	1.0	0	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	83
