mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
11	11	61/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		7	49	C#3	3	129
12	12	31	1.0	0	0	3/4	2	2	1/4	1/4	1		2	50	D3	3	141
12	12	31	0.5	0	0	3/4	2	1	1/8	1/8	1		3	57	A3	3	136
12	12	31	1.0	0	0	3/4	1	2	1/4	1/4	1		4	64	E4	4	132
12	12	31	2.0	0	0	3/4	1	1	1/2	1/2	1		-1	65	F4	4	130
12	12	63/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		-1	53	F3	3	137
12	12	32	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-2	46	Bb2	2	142
12	12	32	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	138
12	12	32	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		2	62	D4	4	133
12	12	65/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	139
12	12	33	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		0	48	C3	3	143
12	12	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	140
12	12	33	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1		0	60	C4	4	134
12	12	33	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	E4	4	131
12	12	67/2	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		-2	58	Bb3	3	135
13	13	34	2.0	0	0	3/4	2	2	1/2	1/2	1		2	50	D3	3	150
13	13	34	2.0	0	0	3/4	2	1	1/2	1/2	1		-1	53	F3	3	148
13	13	34	2.0	0	0	3/4	1	2	1/2	1/2	1		3	57	A3	3	146
13	13	34	2.0	0	0	3/4	1	1	1/2	1/2	1		-1	65	F4	4	144
13	13	36	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		2	50	D3	3	151
13	13	36	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	149
13	13	36	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		2	62	D4	4	147
13	13	36	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	65	F4	4	145
13	13	73/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		0	48	C3	3	152
14	14	37	1.5	0	0	3/4	2	2	3/8	1/4	3/2		-2	46	Bb2	2	167
14	14	37	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	163
14	14	37	1.0	0	0	3/4	1	2	1/4	1/4	1		2	62	D4	4	158
14	14	37	0.5	0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	153
14	14	75/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		-1	65	F4	4	154
14	14	38	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	164
14	14	38	0.5	1/4	1/4	3/4	1	2	1/8	1/8	1		4	64	E4	4	159
14	14	38	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		1	67	G4	4	155
14	14	77/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		3	45	A2	2	168
14	14	77/2	0.5	3/8	3/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	160
14	14	77/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	156
14	14	39	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		1	43	G2	2	169
14	14	39	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1		2	62	D4	4	161
14	14	39	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		2	62	D4	4	165
14	14	39	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	157
14	14	79/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	166
14	14	79/2	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		4	64	E4	4	162
15	15	40	0.5	0	0	3/4	2	2	1/8	1/8	1		-1	41	F2	2	179
15	15	40	0.5	0	0	3/4	2	1	1/8	1/8	1		3	57	A3	3	174
15	15	40	2.0	0	0	3/4	1	2	1/2	1/2	1		-1	65	F4	4	172
15	15	40	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	170
15	15	81/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1		1	43	G2	2	180
15	15	81/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	175
15	15	41	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1		3	45	A2	2	181
15	15	41	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	176
15	15	83/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		-2	46	Bb2	2	182
15	15	42	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		0	48	C3	3	183
15	15	42	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		0	60	C4	4	177
15	15	42	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		4	64	E4	4	173
