Riemenschneider,krn_title,krn_file,ms_file,dcml_file,bwv,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV)
247,Wenn wir in höchsten Nöten sein,chor247.krn,247/short_score.mxl,,432,432,,247,247,247,Wenn wir in höchsten Nöten sein,"Eber, Paul",Wenn wir in höchsten Nöten sein,"Franc, Guillaume*",394,Unknown,1 (431)
248,Sei Lob und Ehr dem höchsten Gut,chor248.krn,248/short_score.mxl,,117.4,117.4 =117.9,1 =100,248 =353,248,248 =354,Sei Lob und Ehr dem höchsten Gut (4),"Schütz, Johann Jakob?",Es ist das Heil uns kommen her,Nürnberg 1523*,4430,Unknown,"4 (9.7, 86.6, 155.5, 251)"
249,Allein Gott in der Höh sei Ehr,chor249.krn,249/short_score.mxl,,260,260,2,249,249,249,Allein Gott in der Höh sei Ehr,"Decius, Nikolaus",Allein Gott in der Höh sei Ehr,"Decius, Nikolaus*",4457,Unknown,"2 (104.6, 112.5)"
250,Ein feste Burg ist unser Gott,chor250.krn,250/short_score.mxl,,303,303,3,250,250,250,Ein feste Burg ist unser Gott,"Luther, Martin",Ein feste Burg ist unser Gott,"Luther, Martin",7377,Unknown,"2 (80.8, 302)"
251,"Ich bin ja, Herr, in deiner Macht",chor251.krn,251/short_score.mxl,,345,345,9,251,251,251,"Ich bin ja, Herr, in deiner Macht","Dach, Simon","Ich bin ja, Herr, in deiner Macht","Bach, J.S.",5869,Unknown,0
252,"Jesu, nun sei gepreiset",chor252.krn,252/short_score.mxl,,362,362,7,252,252,252,"Jesu, nun sei gepreiset","Herman, Johannes","Jesu, nun sei gepreiset",Wittenberg 1591,8477a,Unknown,"3 (41.6, 171.6, 190.7)"
253,Ach Gott vom Himmel sieh darein,chor253.krn,253/short_score.mxl,,77.6,77.6,10,253,253,253,"O Gottes Sohn, Herr Jesu Christ (8)","Denicke, David","Ach Gott, vom Himmel sieh darein",Erfurt 1524*,4431,13th Sunday after Trinity,"2 (2.6, 153.1)"
254,"Weg, mein Herz, mit den Gedanken",chor254.krn,254/short_score.mxl,,25.6,25.6,11,254 =282,254,254 =282,"Treuer Gott, ich muss dir klagen (12)","Heermann, Johann","Freu dich sehr, o meine Seele",Geneva 1551*,6543,14th Sunday after Trinity,"6 (19.7, 30.6, 32.6, 39.7, 70.7, 194.6)"
255,Was frag ich nach der Welt,chor255.krn,255/short_score.mxl,,64.4,64.4,14,255,255,255,Was frag ich nach der Welt (1),"Kindermann, Balthasar","O Gott, du frommer Gott (melody #3)","Fritsch, Ahasverus*",5206b,3rd Day of Christmas,"7 (45.7, 94.8, 128.5, 129.5, 197a.7, 398, 1125)"
256,"Jesu, deine tiefen Wunden",chor256.krn,256/short_score.mxl,,194.6,(194.06),(18),256 =63,256,256 =64,"Treuer Gott, ich muss dir klagen (6)","Heermann, Johann","Freu dich sehr, o meine Seele",Geneva 1551*,6543,Dedication of Church and Organ,"6 (19.7, 25.6, 30.6, 32.6, 39.7, 70.7)"
257,"Nun laßt uns Gott, dem Herren",chor257.krn,257/short_score.mxl,,194.12,(194.12),(19),257 =93,257,257 =93,"Wach auf, mein Herz, und singe","Gerhardt, Paul",Nun lasst uns Gott dem Herren,"Selnecker, Nikolaus",159,Dedication of Church and Organ,"2 (79.6, 165.6)"
258,Mein' Augen schließ ich jetzt,chor258.krn,258/short_score.mxl,,378,378,,258,258,258,Mein Augen schließ ich jetzt,"Löwenstern, Matthäus Apelles von",Mein Augen schließ ich jetzt,"Löwenstern, Matthäus Apelles von",1067,Unknown,0
259,Verleih uns Frieden gnädiglich,chor259.krn,259/short_score.mxl,,42.7,(42.7),(20),259 =91,259,259 =91,Verleih uns Frieden gnädiglich,"Luther, Martin",Verleih uns Frieden gnädiglich,Wittenberg 1529*,1945,Quasimodigeniti (1st Sunday after Easter),1 (126.6)
260,Es ist gewißlich an der Zeit,chor260.krn,260/short_score.mxl,,307,307,22,260,260,260,Es ist gewisslich an der Zeit,"Ringwaldt, Bartholomäus*","Nun freut euch, lieben Christen gmein (melody #2)",Wittenberg 1529*,4429a,Unknown,1 (248.59)
261,Christ lag in Todesbanden,chor261.krn,261/short_score.mxl,,279,279,,261,261,261,Christ lag in Todesbanden,"Luther, Martin",Christ lag in Todesbanden,"Luther, Martin*",7012a,Unknown,"4 (4.8, 158.4, 277, 278)"
262,Ach Gott vom Himmel sieh darein,chor262.krn,262/short_score.mxl,,2.6,2.6,26,262,262,262,"Ach Gott, vom Himmel sieh darein (6)","Luther, Martin","Ach Gott, vom Himmel sieh darein",Erfurt 1524*,4431,2nd Sunday after Trinity,"2 (77.6, 153.1)"
263,"Jesu, meine Freude",chor263.krn,263/short_score.mxl,,227.1,227.1 =227.11,31,263,263,263,"Jesu, meine Freude (1,6)","Franck, Johann","Jesu, meine Freude","Crüger, Johann",8032,Unknown,"6 (64.8, 81.7, 87.7, 227.3, 227.7, 358)"
264,Jesu meines Herzens Freud,chor264.krn,264/short_score.mxl,,361,361,42,264,264,264,"Jesu, meines Herzens Freud","Flittner, Johann","Jesu, meines Herzens Freud","Ahle, Johann Rudolph","4797, 4798d",Unknown,0
265,"Was mein Gott will, das g'schen allzeit",chor265.krn,265/short_score.mxl,,144.6,144.6,44,265,265,265,"Was mein will, das gscheh allzeit (1)","Brandenberg, Markgraf Albrecht von","Was mein Gott will, das gscheh allzeit",Antwerp 1540*,7568,Septuagesima,"6 (65.7, 72.6, 92.9, 103.6, 111.6, 244.25)"
266,"Herr Jesu Christ, du höchstes Gut",chor266.krn,266/short_score.mxl,,48.7,48.7,40,266,266,266,"Herr Jesu Christ, ich schrei zu dir (12)",Freiberg 1670,"Herr Jesu Christ, du höchstes Gut",Görlitz 1587*,4486,19th Sunday after Trinity,"4 (113.1, 113.8, 168.6, 334)"
267,Vater unser im Himmelreich,chor267.krn,267/short_score.mxl,,90.5,90.5,41,267,267,267,"Nimm von uns, Herr, du treuer Gott (7)","Moller, Martin",Vater unser im Himmelreich,Leipzig 1539,3561,25th Sunday after Trinity,"4 (101.7, 102.7, 245.5, 416)"
268,"Nun lob, mein Seel, den Herren",chor268.krn,268/short_score.mxl,,389,389,39,268,268,268,"Nun lob, mein Seel, den Herren","Gramann, Johann","Nun lob, mein Seel, den Herren","Kugelmann, Hans*",8244,Unknown,"4 (17.7, 29.8, 167.5, 390)"
269,"Jesu, der du meine Seele",chor269.krn,269/short_score.mxl,,353,353,29,269,269,269,"Jesu, der du meine Seele","Rist, Johann","Jesu, der du meine Seele",Frankfurt 1662*,6804,Unknown,"4 (78.7, 105.6, 352, 354)"
270,Befiehl du deine Wege,chor270.krn,270/short_score.mxl,,161.6,161.6,34,270,270,270,Herzlich tut mich verlangen (4),"Knoll, Christoph",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,16th Sunday after Trinity,"11 (135.6, 153.5, 244.15, 244.17, 244.44, 244.54, 244.62, 248.5, 248.64, 270, 271)"
271,Gib dich zufrieden und sei stille,chor271.krn,271/short_score.mxl,,315,315,48,271,271,271,Gib dich zufrieden und sei stille,"Gerhardt, Paul",Gib dich zufrieden und sei stille,"Bach, J.S.?",7417a,Unknown,0
272,"Ich dank dir, lieber Herre",chor272.krn,272/short_score.mxl,,348,348,49,272,272,272,"Ich dank dir, lieber Herre","Kolros, Johann","Ich dank dir, lieber Herre",Anonymous,5354b,Unknown,"2 (37.6, 347)"
273,Ein feste Burg ist unser Gott,chor273.krn,273/short_score.mxl,,80.8,80.8,35,273,273,273,Ein feste Burg ist unser Gott (4),"Luther, Martin",Ein feste Burg ist unser Gott,"Luther, Martin",7377,Feast of Reformation,"2 (302, 303)"
274,"O Ewigkeit, du Donnerwort",chor274.krn,274/short_score.mxl,,397,397,23,274,274,274,"O Ewigkeit, du Donnerwort","Rist, Johann","O Ewigkeit, du Donnerwort","Crüger, Johann*",5820,Unknown,1 (20.7=20.11)
275,"O Welt, sieh hier dein Leben",chor275.krn,275/short_score.mxl,,393,393,57,275,275,275,"O Welt, sieh hier dein Leben","Gerhardt, Paul","O Welt, ich muss dich lassen",Anonymous,2293b,Unknown,"9 (13.6, 44.7, 97.9, 244.10, 244.37, 245.11, 392, 394, 395)"
276,"Lobt Gott, ihr Christen allzugleich",chor276.krn,276/short_score.mxl,,375,375,58,276,276,276,"Lobt Gott, ihr Christen, allzugleich","Herman, Nikolaus","Kommt her, ihr lieben Schwesterlein","Herman, Nikolaus*",198,Unknown,"3 (151.5, 195.6, 376)"
277,"Herzlich lieb hab ich dich, o Herr",chor277.krn,277/short_score.mxl,,340,340,53,277,277,277,"Herzlich lieb hab ich dich, o Herr","Schalling, Martin","Herzlich lieb hab ich dich, o Herr",Straßburg 1577,8326,Unknown,"3 (149.7, 174.5, 245.40)"
278,Wie schön leuchtet der Morgenstern,chor278.krn,278/short_score.mxl,,436,436,59,278,278,278,Wie schön leuchtet der Morgenstern,"Nicolai, Philipp",Wie schön leuchtet der Morgenstern,"Nicolai, Philipp",8359,Unknown,"3 (1.6, 36.4, 172.6)"
279,Ach Gott und Herr,chor279.krn,279/short_score.mxl,,48.3,48.3,37,279,279,279,Ach Gott und Herr (4),"Rutilius, Martin",Ach Gott und Herr,Freiberg 1655*,2051,19th Sunday after Trinity,1 (255)
280,"Eins ist not, ach Herr, dies eine",chor280.krn,280/short_score.mxl,,304,304,45,280,280,280,"Eins ist not, ach Herr, dies Eine","Schröder, Johann Heinrich","Eins ist not, ach Herr, dies Eine",Halle 1704*,7127,Unknown,0
281,Wo soll ich fliehen hin,chor281.krn,281/short_score.mxl,,89.6,89.6,,281,281,281,Wo soll ich fliehen hin (7),"Heermann, Johann",Wo soll ich fliehen hin,"Gesius, Bartholomäus*",2164,22nd Sunday after Trinity,"4 (5.7, 136.6, 148.6, 188.6)"
282,"Freu dich sehr, o meine Seele",chor282.krn,282/short_score.mxl,,25.6,(25.6),(11),282 =254,282,282 =254,"Treuer Gott, ich muss dir klagen","Heermann, Johann","Freu dich sehr, o meine Seele",Geneva 1551*,6543,14th Sunday after Trinity,"6 (19.7, 30.6, 32.6, 39.7, 70.7, 194.6)"
283,"Jesu, meine Freude",chor283.krn,283/short_score.mxl,,227.7,227.7,21,283.1,283,283,"Jesu, meine Freude (4)","Franck, Johann","Jesu, meine Freude","Crüger, Johann",8032,Unknown,"6 (64.8, 81.7, 87.7, 227.1=227.11, 227.3, 358)"
284,"Herr Jesu Christ, wahr Mensch und Gott",chor284.krn,284/short_score.mxl,,127.5,127.5,60,283.2,283,284,"Herr Jesu Christ, wahr Mensch und Gott (8)","Eber, Paul",Wenn einer schon ein Haus aufbaut,"Bourgeois, Louis",2570,Quinquagesima,0
285,Wär Gott nicht mit uns diese Zeit,chor285.krn,285/short_score.mxl,,257,257,61,284,284,285,Wär Gott nicht mit uns diese Zeit,"Luther, Martin",Wo Gott der Herr nicht bei uns hält,Wittenberg 1529,4441a,Unknown,"4 (114.7, 178.7, 256, 258)"
286,Befiehl du deine Wege,chor286.krn,286/short_score.mxl,,270,270,62,285,285,286,Befiehl du deine Wege,"Gerhardt, Paul",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,Unknown,"11 (135.6, 153.5, 161.6, 244.15, 244.17, 244.44, 244.54, 244.62, 248.5, 248.64, 271)"
287,"Herr, ich habe mißgehandelt",chor287.krn,287/short_score.mxl,,331,331,63,286,286,287,"Herr, ich habe missgehandelt","Franck, Johann","Herr, ich habe missgehandelt","Crüger, Johann",3695,Unknown,1 (330)
288,"Gelobet seist du, Jesu Christ",chor288.krn,288/short_score.mxl,,314,314,65,287,287,288,"Gelobet seist du, Jesu Christ","Luther, Martin","Gelobet seist du, Jesu Christ",Wittenberg 1524*,1947,Unknown,"3 (64.2, 91.6, 248.28)"
289,Nun ruhen alle Wälder,chor289.krn,289/short_score.mxl,,392,392,,288,288,289,Nun ruhen alle Wälder,"Gerhardt, Paul","O Welt, ich muss dich lassen",Anonymous,2293b,Unknown,"9 (13.6, 44.7, 97.9, 244.10, 244.37, 245.11, 393, 394, 395)"
290,Es ist das Heil uns kommen her,chor290.krn,290/short_score.mxl,,9.7,9.7,70,289,289,290,"Es ist das Heil uns kommen her (7,8)","Speratus, Paul",Es ist das Heil uns kommen her,Nürnberg 1523*,4430,6th Sunday after Trinity,"4 (86.6, 117.4=117.9, 155.5, 251)"
291,Was frag ich nach der Welt,chor291.krn,291/short_score.mxl,,94.8,94.8,72,290,290,291,"Was frag ich nach der Welt (7,8)","Kindermann, Balthasar","O Gott, du frommer Gott (melody #3)","Fritsch, Ahasverus*",5206b,9th Sunday after Trinity,"7 (45.7, 64.4, 128.5, 129.5, 197a.7, 398, 1125)"
292,"Nimm von uns, Herr, du treuer Gott",chor292.krn,292/short_score.mxl,,101.7,101.7,73,291,291,292,"Nimm von uns, Herr, du treuer Gott (7)","Moller, Martin",Vater unser im Himmelreich,Leipzig 1539,3561,10th Sunday after Trinity,"4 (90.5, 102.7, 245.5, 416)"
293,"Was Gott tut, das ist wohlgetan",chor293.krn,293/short_score.mxl,,69a.6,69a.6,76,292,292,293,"Was Gott tut, das ist wohlgetan (6)","Rodigast, Samuel","Was Gott tut, das ist wohlgetan","Gastorius, Severus",5629,12th Sunday after Trinity,"6 (12.7, 75.7=75.14, 99.6, 100.6, 144.3, 250)"
294,"Herr Jesu Christ, du höchstes Gut",chor294.krn,294/short_score.mxl,,113.8,113.8,74,293,293,294,"Herr Jesu Christ, du höchstes Gut (8)","Ringwaldt, Bartholomäus","Herr Jesu Christ, du höchstes Gut",Görlitz 1587*,4486,11th Sunday after Trinity,"4 (48.7, 113.1, 168.6, 334)"
295,"Herr Jesu Christ, mein's Lebens Licht",chor295.krn,295/short_score.mxl,,335,(335),(83),294 =236,294,295 =236,"O Jesu, du mein Bräutigam (for B294)",Anonymous,"Herr Jesu Christ, meins Lebens Licht (melody #1)",Anonymous,314,Unknown,0
296,"Nun lob, mein Seel, den Herren",chor296.krn,296/short_score.mxl,,390,390,81,295,295,296,"Nun lob, mein Seel, den Herren","Gramann, Johann","Nun lob, mein Seel, den Herren","Kugelmann, Hans*",8244,Unknown,"4 (17.7, 29.8, 167.5, 389)"
297,"Jesu, der du meine Seele",chor297.krn,297/short_score.mxl,,78.7,78.7,84,296,296,297,"Jesu, der du meine Seele (12)","Rist, Johann","Jesu, der du meine Seele",Frankfurt 1662*,6804,14th Sunday after Trinity,"4 (105.6, 352, 353, 354)"
298,"Weg, mein Herz, mit den Gedanken",chor298.krn,298/short_score.mxl,,19.7,19.7,87,297,297,298,"Freu dich sehr, o meine Seele (9)",Anonymous,"Freu dich sehr, o meine Seele",Geneva 1551*,6543,Feast of the Archangel Michael,"6 (25.6, 30.6, 32.6, 39.7, 70.7, 194.6)"
299,"Meinen Jesum laß ich nicht, weil",chor299.krn,299/short_score.mxl,,380,380,86,298,298,299,Meinen Jesum lass ich nicht,"Keymann, Christian",Meinen Jesum lass ich nicht,"Hammerschmidt, Andreas",3449,Unknown,"5 (70.11, 124.6, 154.8, 157.5, 244b.29)"
300,"Warum betrübst du dich, mein Herz",chor300.krn,300/short_score.mxl,,421,421,90,299,299,300,"Warum betrübst du dich, mein Herz",Anonymous,"Warum betrübst du dich, mein Herz",Frankfurt/Main 1557,1689,Unknown,"2 (47.5, 420)"
301,"Ach lieben Christen, seid getrost",chor301.krn,301/short_score.mxl,,114.7,114.7,91,300,300,301,"Ach, lieben Christen, seid getrost (6)","Gigas, Johann",Wo Gott der Herr nicht bei uns hält,Wittenberg 1529,4441a,17th Sunday after Trinity,"4 (178.7, 256, 257, 258)"
302,"Hilf, Gott, laß mir's gelingen",chor302.krn,302/short_score.mxl,,343,(343),,301 =199,301,302 =199,"Hilf, Gott, dass mirs gelinge","Müller, Heinrich","Hilf, Gott, dass mirs gelinge",Leipzig 1545,4329,Unknown,0
303,"Herr Christ, der ein'ge Gotts Sohn",chor303.krn,303/short_score.mxl,,96.6,96.6,92,302,302,303,"Herr Christ, der einge Gottessohn (5)","Creutziger, Elisabeth","Herr Christ, der einge Gottessohn",Erfurt 1524*,4297a,18th Sunday after Trinity,"2 (22.5, 164.6)"
304,Auf meinen lieben Gott,chor304.krn,304/short_score.mxl,,5.7,5.7,93,303,303,304,Wo soll ich fliehen hin (11),"Heermann, Johann",Wo soll ich fliehen hin,"Gesius, Bartholomäus*",2164,19th Sunday after Trinity,"4 (89.6, 136.6, 148.6, 188.6)"
305,Wie schön leuchtet der Morgenstern,chor305.krn,305/short_score.mxl,,36.4,(36.4),(33),304 =85 =195,304,305 =86 =195,Wie schön leuchtet der Morgenstern (6),"Nicolai, Philipp",Wie schön leuchtet der Morgenstern,"Nicolai, Philipp",8359,1st Sunday in Advent,"3 (1.6, 172.6, 436)"
306,"O Mensch, bewein dein' Sünde groß",chor306.krn,306/short_score.mxl,,402,(402),,305 =201,305,306 =201,"O Mensch, bewein dein Sünde groß","Heyden, Sebald","Es sind doch selig alle, die im rechten Glauben wandeln","Greitter, Matthias",8303,Unknown,0
307,"Christus, der uns selig macht",chor307.krn,307/short_score.mxl,,283,(283),,306 =198,306,307 =198,"Christus, der uns selig macht","Weisse, Michael","Christus, der uns selig macht",Leipzig c.1500,6285,Unknown,"3 (245.15, 245.37, 1084)"
308,"Ach Gott, wie manches Herzeleid",chor308.krn,308/short_score.mxl,,3.6,(3.6),(28),307 =156,307,308 =156,"Ach Gott, wie manches Herzeleid","Moller, Martin","Herr Jesu Christ, meins Lebens Licht (melody #2)",Leipzig 1625,533a,2nd Sunday after Epiphany,1 (153.9)
309,Ein Lämmelein geht und trägt die Schuld,chor309.krn,309/short_score.mxl,,267,(267),(144),308 =5,308,309 =5,Ein Lämmlein geht und trägt die Schuld (for B5),"Gerhardt, Paul",An Wasserflüssen Babylon,"Greitter, Matthias",7663,Unknown,0
310,"Mach's mit mir, Gott, nach deiner Güt",chor310.krn,310/short_score.mxl,,245.22,245.22,,309,309,310,"Durch dein Gefängis, Gottes Sohn","Postel, Christian Heinrich","Machs mit mir, Gott, nach deiner Güt","Schein, Johann Hermann",2383,Good Friday,"2 (139.6, 377)"
311,Dank sei Gott in der Höhe,chor311.krn,311/short_score.mxl,,287,287,,310,310,311,Dank sei Gott in der Höhe,"Mühlmann, Johannes","Jesus Christ, unser Herre","Gesius, Bartholomäus",5391,Unknown,0
312,"O Gott, du frommer Gott",chor312.krn,312/short_score.mxl,,398,398,,311,311,312,"O Gott, du frommer Gott","Heermann, Johann","O Gott, du frommer Gott (melody #3)","Fritsch, Ahasverus*",5206b,Unknown,"7 (45.7, 64.4, 94.8, 128.5, 129.5, 197a.7, 1125)"
313,Allein Gott in der Höh sei Ehr,chor313.krn,313/short_score.mxl,,112.5,112.5,101,312 =352,312,313 =353,Der Herr ist mein getreuer Hirt (5),"Becker, Cornelius",Allein Gott in der Höh sei Ehr,"Decius, Nikolaus*",4457,Misericordias Domini (2nd Sunday after Easter),"2 (104.6, 260)"
314,Das alte Jahr vergangen ist,chor314.krn,314/short_score.mxl,,289,289,,313,313,314,Das alte Jahr vergangen ist,Erfurt 1568,Das alte Jahr vergangen ist,"Steuerlein, Johann",381c,Unknown,1 (288)
315,"O Gott, du frommer Gott",chor315.krn,315/short_score.mxl,,399,399,,314,314,315,"O Gott, du frommer Gott","Heermann, Johann","O Gott, du frommer Gott (melody #2)",Regensburg 1675*,5148,Unknown,1 (24.6)
316,"Christus, der ist mein Leben",chor316.krn,316/short_score.mxl,,282,282,,315,315,316,"Christus, der ist mein Leben",Geneva 1609,"Christus, der ist mein Leben","Vulpius, Melchior",132,Unknown,1 (281)
317,"Herr, wie du willt, so schick's mit mir",chor317.krn,317/short_score.mxl,,156.6,156.6,,316,316,317,"Herr, wie du willst, so schicks mit mir (1)","Bienemann, Kaspar",Aus tiefer Not schrei ich zu dir (melody #2),"Dachstein, Wolfgang",4438,3rd Sunday after Epiphany,1 (339)
318,"Herr wie du willst, so schick's mit mir",chor318.krn,318/short_score.mxl,,339,(339),,317 =144,317,318 =144,"Herr, wie du willst, so schicks mit mir","Bienemann, Kaspar",Aus tiefer Not schrei ich zu dir (melody #2),"Dachstein, Wolfgang",4438,Unknown,1 (156.6)
319,"Sanctus, sanctus Dominus Deus Sabaoth",chor319.krn,319/short_score.mxl,,325,(325),,318 =235,318,319 =235,"Heilig, heilig [German Sanctus]",German trans. of Sanctus,"Heilig, heilig",Steinau 1726*,8633,Unknown,0
320,Gott sei uns gnädig und barmherzig,chor320.krn,320/short_score.mxl,,323,323,,319,319,320,Gott sei uns gnädig und barmherzig,Anonymous,Meine Seel erhebt den Herren [The German Magnificat],Wittenberg 1535*,7372,Unknown,"2 (10.7, 324)"
321,Wir Christenleut,chor321.krn,321/short_score.mxl,,40.3,40.3,,320,320,321,Wir Christenleut habn jetzund Freud (3),"Füger, Kaspar",Wir Christenleut habn jetzund Freud,"Füger, Kaspar",2072,2nd Day of Christmas,"2 (110.7, 248.35)"
322,Wenn mein Stündlein vorhanden ist,chor322.krn,322/short_score.mxl,,428,428,,321,321,322,Wenn mein Stündlein vorhanden ist,"Herman, Nikolaus",Wenn mein Stündlein vorhanden ist,Frankfurt/Main 1569,4482ab,Unknown,"4 (31.9, 95.7, 429, 430)"
323,Wie schön leuchtet der Morgenstern,chor323.krn,323/short_score.mxl,,172.6,172.6,,322,322,323,Wie schön leuchtet der Morgenstern (4),"Nicolai, Philipp",Wie schön leuchtet der Morgenstern,"Nicolai, Philipp",8359,Whit Sunday,"3 (1.6, 36.4, 436)"
324,"Jesu, meine Freude",chor324.krn,324/short_score.mxl,,81.7,81.7,,323,323,324,"Jesu, meine Freude (2)","Franck, Johann","Jesu, meine Freude","Crüger, Johann",8032,4th Sunday after Epiphany,"6 (64.8, 87.7, 227.1=227.11, 227.3, 227.7, 358)"
325,Mit Fried und Freud ich fahr dahin,chor325.krn,325/short_score.mxl,,83.5,83.5,,324,324,325,Mit Fried und Freud ich fahr dahin (4),"Luther, Martin",Mit Fried und Freud ich fahr dahin,Wittenberg 1524,3986,Feast of the Purification of Mary,"2 (125.6, 382)"
326,Allein Gott in der Höh sei Ehr,chor326.krn,326/short_score.mxl,,104.6,(104.6),,325 =125,325,326 =125,Der Herr ist mein getreuer Hirt,"Becker, Cornelius",Allein Gott in der Höh sei Ehr,"Decius, Nikolaus*",4457,Misericordias Domini,"2 (112.5, 260)"
327,"Jesu, nun sei gepreiset",chor327.krn,327/short_score.mxl,,190.7,190.7,,326,326,327,"Jesu, nun sei gepreiset (2)","Herman, Johannes","Jesu, nun sei gepreiset",Wittenberg 1591,8477a,New Year’s Day,"3 (41.6, 171.6, 362)"
328,"Liebster Jesu, wir sind hier",chor328.krn,328/short_score.mxl,,373,(373),,327 =131,327,328 =131,"Liebster Jesu, wir sind hier","Clausnizer, Tobias","Liebster Jesu, wir sind hier","Briegel, Wolfgang Carl*",3498,Unknown,0
329,Sei Lob und Ehr dem höchsten Gut,chor329.krn,329/short_score.mxl,,251,251,,328,328,329,Sei Lob und Ehr dem höchsten Gut,"Schütz, Johann Jakob?",Es ist das Heil uns kommen her,Nürnberg 1523*,4430,Wedding,"4 (9.7, 86.6, 117.4=117.9, 155.5)"
330,Nun danket alle Gott,chor330.krn,330/short_score.mxl,,252,252,,329,329,330,Nun danket alle Gott,"Rinckart, Martin",Nun danket alle Gott,"Crüger, Johann",5142,Wedding,"2 (79.3, 386)"
331,Wo soll ich fliehen hin,chor331.krn,331/short_score.mxl,,136.6,136.6,,330,330,331,Wo soll ich fliehen hin (9),"Heermann, Johann",Wo soll ich fliehen hin,"Gesius, Bartholomäus*",2164,8th Sunday after Trinity,"4 (5.7, 89.6, 148.6, 188.6)"
332,Von Gott will ich nicht lassen,chor332.krn,332/short_score.mxl,,418,418,,331,331,332,Von Gott will ich nicht lassen,"Helmbold, Ludwig",Von Gott will ich nicht lassen,Erfurt 1563*,5264b,Unknown,"4 (73.5, 107.7, 417, 419)"
333,Es woll' uns Gott genädig sein,chor333.krn,333/short_score.mxl,,69.6,69.6,,332,332,333,Es woll uns Gott genädig sein (3),"Luther, Martin",Es woll uns Gott genädig sein,"Greitter, Matthias",7247,Town Council Inauguration,"3 (76.7=76.14, 311, 312)"
334,Für deinen Thron tret ich hiermit,chor334.krn,334/short_score.mxl,,327,327,,333,333,334,Vor deinen Thron tret ich hiermit,"Hodenberg, Bobo von","Herr Gott, dich loben alle wir",Geneva 1551*,368,Unknown,"2 (130.6, 326)"
335,Es ist das Heil uns kommen her,chor335.krn,335/short_score.mxl,,155.5,155.5,,334,334,335,Es ist das Heil uns kommen her (12),"Speratus, Paul",Es ist das Heil uns kommen her,Nürnberg 1523*,4430,2nd Sunday after Epiphany,"4 (9.7, 86.6, 117.4=117.9, 251)"
336,"Wo Gott, der Herr, mich bei uns hält",chor336.krn,336/short_score.mxl,,258,258,,335,335,336,Wo Gott der Herr nicht bei uns hält,"Jonas, Justus",Wo Gott der Herr nicht bei uns hält,Wittenberg 1529,4441a,Unknown,"4 (114.7, 178.7, 256, 257)"
337,"O Gott, du frommer Gott",chor337.krn,337/short_score.mxl,,24.6,24.6,,336,336,337,"O Gott, du frommer Gott (1)","Heermann, Johann","O Gott, du frommer Gott (melody #2)","Regensburg 1675, Meiningen 1693",5148,4th Sunday after Trinity,1 (399)
338,"Jesus, meine Zuversicht",chor338.krn,338/short_score.mxl,,145-a,145a,,337,337,338,"Auf, mein Herz, des Herren Tag (1)","Neumann, Kaspar","Jesus, meine Zuversicht",Berlin 1653,3432,Easter Tuesday,1 (365)
339,Wer nur den lieben Gott laßt walten,chor339.krn,339/short_score.mxl,,179.6,179.6,75,338,338,339,"Ich armer Mensch, ich armer Sünder (1)","Tietze, Christoph",Wer nur den lieben Gott lässt walten,"Neumark, Georg",2778,11th Sunday after Trinity,"6 (84.5, 88.7, 93.7, 166.6, 197.10, 434)"
340,Befiehl du deine Wege,chor340.krn,340/short_score.mxl,,272,272,,339,339,340,Befiehl du deine Wege,"Gerhardt, Paul",Befiehl du deine Wege (melody #2),"Gesius, Bartholomäus",5393,Unknown,1 (1126)
341,"Ich dank dir, lieber Herre",chor341.krn,341/short_score.mxl,,37.6,37.6,,340,340,341,"Ich dank dir, lieber Herre (4)","Kolros, Johann","Ich dank dir, lieber Herre",Anonymous,5354b,Ascension Day,"2 (347, 348)"
342,"Lobt Gott, ihr Christen allzugleich",chor342.krn,342/short_score.mxl,,376,376,,341,341,342,"Lobt Gott, ihr Christen, allzugleich","Herman, Nikolaus","Kommt her, ihr lieben Schwesterlein","Herman, Nikolaus*",198,Unknown,"3 (151.5, 195.6, 375)"
343,Nun lieget alles unter dir,chor343.krn,343/short_score.mxl,,11.6,11.6,,342,342,343,"Du Du Lebensfürst, Herr Jesu Christ (4)","Rist, Johann","Ermuntre dich, mein schwacher Geist","Schop, Johann",5741,Ascension,"2 (43.11, 248.12)"
344,"Vom Himmel hoch, da komm ich her",chor344.krn,344/short_score.mxl,,248.23,248.23,,343,343,344,"Wir singen dir, Immanuel (2)","Gerhardt, Paul","Vom Himmel hoch, da komm ich her","Luther, Martin",346,2nd Day of Christmas,"2 (248.9, 248.17)"
345,O Haupt voll Blut und Wunden,chor345.krn,345/short_score.mxl,,248.5,248.05,,344,344,345,Wie soll ich dich empfangen (1),"Gerhardt, Paul",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,Christmas Day,"11 (135.6, 153.5, 161.6, 244.15, 244.17, 244.44, 244.54, 244.62, 248.64, 270, 271)"
346,Meines Lebens letzte Zeit,chor346.krn,346/short_score.mxl,,381,381,,345,345,346,Meines Lebens letzte Zeit,Gotha 1726,Meines Lebens letzte Zeit,Gotha 1726,6380,Unknown,0
