Riemenschneider,krn_title,krn_file,ms_file,dcml_file,bwv,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV)
72,"Erhalt uns, Herr, bei deinem Wort",chor072.krn,072/short_score.mxl,,6.6,6.6,,72,72,72,"Erhalt uns, Herr, bei deinem Wort (2)","Luther, Martin","Erhalt uns, Herr, bei deinem Wort","Luther, Martin*",350,Easter Monday,0
73,"Herr Jesu Christ, ich schrei zu dir",chor073.krn,073/short_score.mxl,,334,334,54,73,73,73,"Herr Jesu Christ, du höchstes Gut","Ringwaldt, Bartholomäus","Herr Jesu Christ, du höchstes Gut",Görlitz 1587*,4486,Unknown,"4 (48.7, 113.1, 113.8, 168.6)"
74,O Haupt voll Blut und Wunden,chor074.krn,074/short_score.mxl,,244.54,244.54,,74,74,74,"O Haupt voll Blut und Wunden (1,2)","Gerhardt, Paul",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,Good Friday,"11 (135.6, 153.5, 161.6, 244.15, 244.17, 244.44, 244.62, 248.5, 248.64, 270, 271)"
75,Das walt mein Gott,chor075.krn,075/short_score.mxl,,291,291,,75,75,75,"Das walt mein Gott, Vater, Sohn und heiliger Geist","Förtsch, Basilius","Das walt mein Gott, Vater, Sohn und heiliger Geist",Gotha 1648,4217,Unknown,0
76,"Freu dich sehr, o meine Seele",chor076.krn,076/short_score.mxl,,30.6,30.6,,76,76,76,"Tröstet, tröstet meine Lieben (3)","Olearius, Johann","Freu dich sehr, o meine Seele",Geneva 1551*,6543,Feast of John the Baptist,"6 (19.7, 25.6, 32.6, 39.7, 70.7, 194.6)"
77,"In dich hab ich gehoffet, Herr",chor077.krn,077/short_score.mxl,,248.46,248.46,126,77,77,77,"Nun, liebe Seel, nun ist es Zeit (5)","Weissel, Georg","In dich hab ich gehoffet, Herr",Nürnberg 1581,2461,Sunday after New Year,"2 (52.6, 244.32)"
78,"Herzliebester Jesu, was hast du verbrochen",chor078.krn,078/short_score.mxl,,244.3,244.03,,78,78,78,"Herzliebster Jesu, was hast du verbrochen (1)","Heermann, Johann","Herzliebster Jesu, was hast du verbrochen","Crüger, Johann",983,Good Friday,"3 (244.46, 245.3, 245.17)"
79,Heut triumphieret Gottes Sohn,chor079.krn,079/short_score.mxl,,342,342,,79,79,79,Heut triumphieret Gottes Sohn,"Stolzhagen, Kaspar",Heut triumphieret Gottes Sohn,"Gesius, Bartholomäus",2585,Unknown,0
80,O Haupt voll Blut und Wunden,chor080.krn,080/short_score.mxl,,244.44,244.44,,87,87,80,Befiehl du deine Wege (1),"Gerhardt, Paul",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,Good Friday,"11 (135.6, 153.5, 161.6, 244.15, 244.17, 244.54, 244.62, 248.5, 248.64, 270, 271)"
81,"Christus, der uns delig macht",chor081.krn,081/short_score.mxl,,245.15,245.15,,80,80,81,"Christus, der uns selig macht (1)","Weisse, Michael","Christus, der uns selig macht",Leipzig c.1500,6285,Good Friday,"3 (245.37, 283, 1084)"
82,O großer Gott von Macht,chor082.krn,082/short_score.mxl,,46.6,46.6,,81,81,82,O großer Gott von Macht (9),"Meyfart, Matthäus",O großer Gott von Macht,"Schnurr, Balthasar",5101a,10th Sunday after Trinity,0
83,"Jesu Leiden, Pein und Tod",chor083.krn,083/short_score.mxl,,245.14,245.14,,82,82,83,"Jesu Leiden, Pein und Tod (10)","Stockmann, Paul","Jesu Kreuz, Leiden und Pein","Vulpius, Melchior",6288b,Good Friday,"2 (159.5, 245.28)"
84,Nun bitten wir den heiligen Geist,chor084.krn,084/short_score.mxl,,197.5,197.05,,83,83,84,Nun bitten wir den Heiligen Geist (3),"Luther, Martin",Nun bitten wir den Heiligen Geist,Wittenberg 1524*,2029,Wedding,"2 (169.7, 385)"
85,"O Gott, du frommer Gott",chor085.krn,085/short_score.mxl,,45.7,45.7,,84,84,85,"O Gott, du frommer Gott (2)","Heermann, Johann","O Gott, du frommer Gott (melody #3)","Fritsch, Ahasverus*",5206b,8th Sunday after Trinity,"7 (64.4, 94.8, 128.5, 129.5, 197a.7, 398, 1125)"
86,Wie schön leuchtet der Morgenstern,chor086.krn,086/short_score.mxl,,36.4,36.4,33,85 =195 =304,85,86 =195 =305,Wie schön leuchtet der Morgenstern (6),"Nicolai, Philipp",Wie schön leuchtet der Morgenstern,"Nicolai, Philipp",8359,1st Sunday in Advent,"3 (1.6, 172.6, 436)"
87,"Du, o schönes Weltgebäude",chor087.krn,087/short_score.mxl,,56.5,56.5,,86,86,87,"Du, o schönes Weltgebäude (6)","Franck, Johann",Du geballtes Weltgebäude,"Crüger, Johann",6773,19th Sunday after Trinity,1 (301)
88,Helft mir Gotts Güte preisen,chor088.krn,088/short_score.mxl,,28.6,(28.6),(8),88 =23,88,88 =23,Helft mir Gotts Güte preisen (6),"Eber, Paul",Helft mir Gotts Güte preisen,Anonymous,5267,1st Sunday after Christmas,"2 (16.6, 183.5)"
89,O Haupt voll Blut und Wunden,chor089.krn,089/short_score.mxl,,244.62,244.62,,89,89,89,O Haupt voll Blut und Wunden (9),"Gerhardt, Paul",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,Good Friday,"11 (135.6, 153.5, 161.6, 244.15, 244.17, 244.44, 244.54, 248.5, 248.64, 270, 271)"
90,"Hast du denn, Jesu, dein Angesicht",chor090.krn,090/short_score.mxl,,57.8,57.8,,90,90,90,"Hast du denn, Jesu, dein Angesicht gänzlich verborgen (6)","Fritsch, Ahasverus","Hast du denn, Jesu, dein Angesicht gänzlich verborgen",Stralsund 1665,1912a,2nd Day of Christmas,"2 (120a.8, 137.5)"
91,Verleih uns Frieden gnädiglich,chor091.krn,091/short_score.mxl,,42.7,42.7,20,91 =259,91,91 =259,Verleih uns Frieden gnädiglich,"Luther, Martin",Verleih uns Frieden gnädiglich,Wittenberg 1529*,1945,Quasimodigeniti (1st Sunday after Easter),1 (126.6)
92,"Herr Jesu Christ, du höchstes Gut",chor092.krn,092/short_score.mxl,,168.6,168.6,,92,92,92,"Herr Jesu Christ, du höchstes Gut (8)","Ringwaldt, Bartholomäus","Herr Jesu Christ, du höchstes Gut",Görlitz 1587*,4486,9th Sunday after Trinity,"4 (48.7, 113.1, 113.8, 334)"
93,"Wach auf, mein Herz",chor093.krn,093/short_score.mxl,,194.12,194.12,19,93 =257,93,93 =257,"Wach auf, mein Herz, und singe (9,10)","Gerhardt, Paul",Nun lasst uns Gott dem Herren,"Selnecker, Nikolaus",159,Dedication of Church and Organ,"2 (79.6, 165.6)"
94,"Warum betrübst du dich, mein Herz",chor094.krn,094/short_score.mxl,,47.5,47.5,,94,94,94,"Warum betrübst du dich, mein Herz (11)",Anonymous,"Warum betrübst du dich, mein Herz",Frankfurt/Main 1557,1689,17th Sunday after Trinity,"2 (420, 421)"
95,"Werde munter, mein Gemüte",chor095.krn,095/short_score.mxl,,55.5,55.5,,95,95,95,Werde munter mein Gemüte (6),"Rist, Johann",Werde munter mein Gemüte,"Schop, Johann",6551,22nd Sunday after Trinity,"6 (146.8, 147.6=147.10, 154.3, 244.40, 359, 360)"
96,"Jesu, meine Freude",chor096.krn,096/short_score.mxl,,87.7,87.7,105,96,96,96,Selig ist die Seele (9),"Müller, Heinrich","Jesu, meine Freude","Crüger, Johann",8032,Rogate (5th Sunday after Easter),"6 (64.8, 81.7, 227.1=227.11, 227.3, 227.7, 358)"
97,Nun bitten wir den heiligen Geist,chor097.krn,097/short_score.mxl,,169.7,169.7,36,97,97,97,Nun bitten wir den Heiligen Geist (3),"Luther, Martin",Nun bitten wir den Heiligen Geist,Wittenberg 1524*,2029,18th Sunday after Trinity,"2 (197.5, 385)"
98,O Haupt voll Blut und Wunden,chor098.krn,098/short_score.mxl,,244.15,244.15,,98,98,98,O Haupt voll Blut und Wunden (5),"Gerhardt, Paul",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,Good Friday,"11 (135.6, 153.5, 161.6, 244.17, 244.44, 244.54, 244.62, 248.5, 248.64, 270, 271)"
99,Helft mir Gotts Güte preisen,chor099.krn,099/short_score.mxl,,16.6,16.6,,99,99,99,Helft mir Gotts Güte preisen (6),"Eber, Paul",Helft mir Gotts Güte preisen,Anonymous,5267,New Year’s Day,"2 (28.6, 183.5)"
100,Durch Adams Fall ist ganz verderbt,chor100.krn,100/short_score.mxl,,18.5,18.5,,100 =126,100,100 =126,Durch Adams Fall ist ganz verderbt (8),"Spengler, Lazarus",Durch Adams Fall ist ganz verderbt,Wittenberg 1529,7549,Sexagesima,0
101,"Herr Christ, der ein'ge Gottes Sohn",chor101.krn,101/short_score.mxl,,164.6,164.6,82,101,101,101,"Herr Christ, der einge Gottessohn (5)","Creutziger, Elisabeth","Herr Christ, der einge Gottessohn",Erfurt 1524*,4297a,13th Sunday after Trinity,"2 (22.5, 96.6)"
102,"Du lebensfürst, Herr Jesu Christ",chor102.krn,102/short_score.mxl,,43.11,43.11,107,102,102,102,"Du Lebensfürst, Herr Jesu Christ (1, 13)","Rist, Johann","Ermuntre dich, mein schwacher Geist","Schop, Johann",5741,Ascension,"2 (11.6, 248.12)"
103,Nun ruhen alle Wälder,chor103.krn,103/short_score.mxl,,13.6,13.6,,103,103,103,In allen meinen Taten (15),"Fleming, Paul","O Welt, ich muss dich lassen",Anonymous,2293b,2nd Sunday after Epiphany,"9 (44.7, 97.9, 244.10, 244.37, 245.11, 392, 393, 394, 395)"
104,Wer nur den lieben Gott läßt walten,chor104.krn,104/short_score.mxl,,88.7,88.7,,104,104,104,Wer nur den lieben Gott lässt walten (8),"Neumark, Georg",Wer nur den lieben Gott lässt walten,"Neumark, Georg",2778,5th Sunday after Trinity,"6 (84.5, 93.7, 166.6, 179.6, 197.10, 434)"
105,"Herzliebester Jesu, was hast du verbrochen",chor105.krn,105/short_score.mxl,,244.46,244.46,,105,105,105,"Herzliebster Jesu, was hast du verbrochen (4)","Heermann, Johann","Herzliebster Jesu, was hast du verbrochen","Crüger, Johann",983,Good Friday,"3 (244.3, 245.3, 245.17)"
106,"Jesu Leiden, Pein und Tod",chor106.krn,106/short_score.mxl,,245.28,245.28,,106,106,106,"Jesu Leiden, Pein und Tod (20)","Stockmann, Paul","Jesu Kreuz, Leiden und Pein","Vulpius, Melchior",6288b,Good Friday,"2 (159.5, 245.14)"
107,"Herzlich lieb hab ich dich, o Herr",chor107.krn,107/short_score.mxl,,245.40,245.40,,107,107,107,"Herzlich lieb hab ich dich, o Herr (3)","Schalling, Martin","Herzlich lieb hab ich dich, o Herr",Straßburg 1577,8326,Good Friday,"3 (149.7, 174.5, 340)"
108,Valet will ich dir geben,chor108.krn,108/short_score.mxl,,245.26,245.26,142,108,108,108,Valet will ich dir geben (3),"Herberger, Valerius",Valet will ich dir geben,"Teschner, Melchior",5404a,Good Friday,1 (415)
109,Singen wir aus Herzensgrund,chor109.krn,109/short_score.mxl,,187.7,187.7,,109,109,109,Singen wir aus Herzensgrund (4),"Vogel, Hans",Da Christus geboren war,Bohemian Brethren 1544*,4816,7th Sunday after Trinity,0
110,Vater unser im Himmelreich,chor110.krn,110/short_score.mxl,,102.7,102.7,,110,110,110,"So wahr ich lebe, spricht dein Gott (6)","Heermann, Johann",Vater unser im Himmelreich,Leipzig 1539,3561,10th Sunday after Trinity,"4 (90.5, 101.7, 245.5, 416)"
111,"Herzliebester Jesu, was hast du verbrochen",chor111.krn,111/short_score.mxl,,245.17,245.17,140,111,111,111,"Herzliebster Jesu, was hast du verbrochen (8,9)","Heermann, Johann","Herzliebster Jesu, was hast du verbrochen","Crüger, Johann",983,Good Friday,"3 (244.3, 244.46, 245.3)"
112,Wer nur den lieben Gott läßt walten,chor112.krn,112/short_score.mxl,,84.5,84.5,30,112,112,112,"Wer weiss, wie nahe mir mein Ende (12)","Schwarzburg–Rudolstadt, ämilie Juliane von",Wer nur den lieben Gott lässt walten,"Neumark, Georg",2778,Septuagesima,"6 (88.7, 93.7, 166.6, 179.6, 197.10, 434)"
113,"Christus, der uns selig macht",chor113.krn,113/short_score.mxl,,245.37,245.37,,113,113,113,"Christus, der uns selig macht (8)","Weisse, Michael","Christus, der uns selig macht",Leipzig c.1500,6285,Good Friday,"3 (245.15, 283, 1084)"
114,Von Gott will ich nicht lassen,chor114.krn,114/short_score.mxl,,419,419,,114,114,114,Von Gott will ich nicht lassen,"Helmbold, Ludwig",Von Gott will ich nicht lassen,Erfurt 1563*,5264b,Unknown,"4 (73.5, 107.7, 417, 418)"
115,"Was mein Gott will, das g'scheh allzeit",chor115.krn,115/short_score.mxl,,244.25,244.25,,115,115,115,"Was mein will, das gscheh allzeit (1)","Brandenberg, Markgraf Albrecht von","Was mein Gott will, das gscheh allzeit",Antwerp 1540*,7568,Good Friday,"6 (65.7, 72.6, 92.9, 103.6, 111.6, 144.6)"
116,"Nun lob, mein Seel, den Herren",chor116.krn,116/short_score.mxl,,29.8,29.8,,116,116,116,"Nun lob, mein Seel, den Herren (5)","Gramann, Johann","Nun lob, mein Seel, den Herren","Kugelmann, Hans*",8244,Town Council Inauguration,"4 (17.7, 167.5, 389, 390)"
117,Nun ruhen alle Wälder,chor117.krn,117/short_score.mxl,,244.10,244.10,,117,117,117,"O Welt, sieh hier dein Leben (5)","Gerhardt, Paul","O Welt, ich muss dich lassen",Anonymous,2293b,Good Friday,"9 (13.6, 44.7, 97.9, 244.37, 245.11, 392, 393, 394, 395)"
118,"In dich hab ich gehoffet, Herr",chor118.krn,118/short_score.mxl,,244.32,244.32,,118,118,118,"In dich hab ich gehoffet, Herr (5)","Reusner, Adam","In dich hab ich gehoffet, Herr",Nürnberg 1581,2461,Good Friday,"2 (52.6, 248.46)"
119,"Christ, unser Herr zum Jordan kam",chor119.krn,119/short_score.mxl,,176.6,176.6,,119,119,119,Was alle Weisheit in der Welt (8),"Gerhardt, Paul",Christ unser Herr zum Jordan kam,"Walter, Johann?",7246,Trinity Sunday,"2 (7.7, 280)"
