,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.75,41.5,49.0,32.0,19.5,22.75,20.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.0,0.0,0.0,0.0,0.0,7.0,12.0,9.0,17.0,25.25,31.5,19.75,5.0,1.5,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,37.25,31.5,29.25,26.5,28.0,19.0,3.75,2.5,1.0,0.0,0.0,0.0
021,0.0,0.0,0.0,0.0,0.0,0.0,3.5,10.25,24.0,24.25,26.0,40.5,28.5,15.5,6.0,7.5,4.0,2.0,0.0,0.0,0.0,0.0
022,0.0,0.0,0.0,0.0,18.5,53.75,56.5,29.0,19.5,34.0,24.25,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,21.0,16.0,25.0,42.5,37.5,24.0,3.5,3.0,9.0,0.0,0.0,0.0,0.0,0.0
024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,43.0,40.0,22.0,20.0,27.0,16.0,6.5,2.0,1.0,0.5,0.0,0.0
025,0.0,0.0,0.0,10.5,30.0,22.0,20.5,23.5,41.5,21.5,3.5,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026,0.0,0.0,0.0,0.0,0.0,1.0,18.5,31.0,28.0,22.5,15.5,27.0,12.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
027,0.0,0.0,0.0,0.0,0.5,13.0,36.25,37.5,24.0,11.0,19.5,15.75,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,8.75,21.25,9.75,12.5,32.75,22.0,12.25,2.5,2.0,3.0,1.0,0.0,0.0
029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,18.0,51.5,48.5,25.5,16.5,27.5,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,16.5,38.0,16.5,14.0,40.75,34.75,12.5,1.5,3.0,5.0,1.0,0.0,0.0,0.0
031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,27.5,21.0,21.0,24.25,25.75,18.75,5.5,2.0,3.5,0.0,0.0,0.0,0.0,0.0
032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.25,36.75,43.5,28.0,14.0,24.25,13.25,1.5,1.0,0.0,0.0,0.0
033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,16.75,9.75,14.75,31.0,31.5,15.25,1.5,3.0,7.75,0.0,0.0,0.0,0.0,0.0
034,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,39.75,30.75,22.5,33.0,34.25,20.25,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.25,31.5,21.75,11.5,15.5,12.0,2.0,0.5,0.0,0.0,0.0
036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,51.0,39.5,27.5,25.5,33.0,19.5,1.5,0.0,1.5,0.0,0.0
037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,24.75,16.5,23.0,34.5,41.75,25.0,4.0,2.0,11.5,0.25,0.0,0.0,0.0,0.0
038,0.0,0.0,0.0,0.0,8.75,33.0,34.25,27.5,17.0,19.0,15.0,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,35.75,25.0,20.0,27.25,38.0,24.25,4.0,2.0,4.25,0.5,0.0,0.0,0.0
040,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,26.0,32.5,23.5,10.0,10.0,14.5,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,31.25,28.0,25.75,43.0,46.5,25.0,8.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0
042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,34.0,32.5,16.5,12.0,21.0,14.5,0.0,0.0,2.0,0.0,0.0
043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,11.25,35.25,36.25,30.25,27.0,25.0,22.5,5.5,0.0,4.5,1.0
044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.5,30.5,20.5,13.0,16.5,13.5,3.0,0.5,0.0,0.0,0.0,0.0
045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.25,14.0,26.75,42.0,42.0,28.5,7.0,1.5,11.0,0.0,0.0,0.0
046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.5,25.5,30.5,15.0,12.0,17.5,13.0,4.0,0.5,0.0,0.0,0.0,0.0
047,0.0,0.0,0.0,0.0,0.0,0.0,8.5,25.75,18.5,17.25,34.0,37.5,25.5,10.5,2.0,8.0,4.5,0.0,0.0,0.0,0.0,0.0
048,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.5,23.5,14.0,21.5,36.0,27.5,14.0,2.5,5.5,4.5,1.0,0.0,0.0,0.0,0.0
049,0.0,0.0,0.0,0.0,0.0,0.0,3.5,23.5,18.25,17.5,33.25,49.5,23.5,12.0,3.0,8.5,3.5,0.0,0.0,0.0,0.0,0.0
