fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
236 O Jesu, du mein Bräutigam	1: 4/4	1: 1	9	9	32.0	9	9	32.0		128.0	154	51	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/236 O Jesu, du mein Bräutigam.mscz	False	40-78 (E2-F#5)	cap	Sopran/Alt	59-78 (B3-F#5)	Tenor/Baß	40-67 (E2-G4)
237 Was betrübst du dich, mein Herze	1: 4/4	1: -1	16	16	64.0	16	16	64.0		256.0	290	108	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/237 Was betrübst du dich, mein Herze.mscz	False	38-77 (D2-F5)	cap	Sopran/Alt	55-77 (G3-F5)	Tenor/Baß	38-67 (D2-G4)
239 Den Vater dort oben	1: 4/4	1: 0	14	14	56.0	14	14	56.0		224.0	252	100	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/239 Den Vater dort oben.mscz	False	36-76 (C2-E5)	cap	Sopran/Alt	55-76 (G3-E5)	Tenor/Baß	36-64 (C2-E4)
240 Nun sich der Tag geendet hat	1: 4/4	1: 0	9	9	32.0	9	9	32.0		124.0	128	48	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/240 Nun sich der Tag geendet hat.mscz	False	36-76 (C2-E5)	cap	Sopran/Alt	64-76 (E4-E5)	Tenor/Baß	36-65 (C2-F4)
241 Was willst du mich, o meine Seele, kränken	1: 4/4	1: 0	26	26	101.0	26	26	101.0		380.0	517	197	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/241 Was willst du mich, o meine Seele, kränken.mscz	False	36-74 (C2-D5)	cap	Sopran/Alt	57-74 (A3-D5)	Tenor/Baß	36-65 (C2-F4)
242 Wie bist du, Seele, in mir so gar betrübt	1: 4/4	1: 1	12	12	44.0	12	12	44.0		176.0	215	82	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/242 Wie bist du, Seele, in mir so gar betrübt.mscz	False	40-72 (E2-C5)	cap	Sopran/Alt	59-72 (B3-C5)	Tenor/Baß	40-65 (E2-F4)
243 Jesu, du mein liebstes Leben	1: 3/4	1: -2	20	20	60.0	40	40	120.0		240.0	218	79	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/243 Jesu, du mein liebstes Leben.mscz	False	38-77 (D2-F5)	cap	Sopran/Alt	59-77 (B3-F5)	Tenor/Baß	38-65 (D2-F4)
244 Jesu, Jesu, du bist mein	1: 4/4	1: -2	16	16	64.0	16	16	64.0		256.0	286	105	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/244 Jesu, Jesu, du bist mein.mscz	False	39-77 (Eb2-F5)	cap	Sopran/Alt	55-77 (G3-F5)	Tenor/Baß	39-65 (Eb2-F4)
245 Christe, der du bist Tag und Licht	1: 4/4	1: -2	9	9	32.0	9	9	32.0		128.0	180	64	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/245 Christe, der du bist Tag und Licht.mscz	False	41-72 (F2-C5)	cap	Sopran/Alt	60-72 (C4-C5)	Tenor/Baß	41-63 (F2-Eb4)
246 Singt dem Herrn ein neues Lied	1: 4/4	1: 1	13	13	52.0	17	17	68.0		208.0	254	101	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/246 Singt dem Herrn ein neues Lied.mscz	False	43-78 (G2-F#5)	cap	Sopran/Alt	59-78 (B3-F#5)	Tenor/Baß	43-65 (G2-F4)
