Riemenschneider,krn_file,cap_file,xml_file
84,chor084.krn,083 Nun bitten wir den Heiligen Geist.mscx,084/short_score.mxl
85,chor085.krn,"084 O Gott, du frommer Gott.mscx",085/short_score.mxl
86,chor086.krn,085 Wie schön leuchtet der Morgenstern.mscx,086/short_score.mxl
87,chor087.krn,"086 Du, o schönes Weltgebäude.mscx",087/short_score.mxl
88,chor088.krn,088 Helft mir Gottes Güte preisen.mscx,088/short_score.mxl
89,chor089.krn,089 O Haupt voll Blut und Wunden.mscx,089/short_score.mxl
90,chor090.krn,"090 Hast du denn, Jesu, dein....mscx",090/short_score.mxl
91,chor091.krn,091 Verleih uns Frieden gnädiglich.mscx,091/short_score.mxl
92,chor092.krn,"092 O Jesu Christ, du höchstes Gut.mscx",092/short_score.mxl
93,chor093.krn,093 Wach auf mein Herz und singe.mscx,093/short_score.mxl
94,chor094.krn,"094 Warum betrübst du dich, mein Herz.mscx",094/short_score.mxl
95,chor095.krn,"095 Werde munter, mein Gemüte.mscx",095/short_score.mxl
96,chor096.krn,"096 Jesu, meine Freude.mscx",096/short_score.mxl
97,chor097.krn,097 Nun bitten wir den Heiligen Geist.mscx,097/short_score.mxl
98,chor098.krn,098 O Haupt voll Blut und Wunden.mscx,098/short_score.mxl
99,chor099.krn,099 Helft mir Gottes Güte preisen.mscx,099/short_score.mxl
100,chor100.krn,"100 Ich ruf zu dir, Herr Jesu Christ.mscx",100/short_score.mxl
101,chor101.krn,"101 Herr Christ, der ein'ge Gottes Sohn.mscx",101/short_score.mxl
102,chor102.krn,"102 Ermuntre dich, mein schwacher Geist.mscx",102/short_score.mxl
103,chor103.krn,,103/short_score.mxl
104,chor104.krn,104 Wer nur den lieben Gott läßt walten.mscx,104/short_score.mxl
105,chor105.krn,"105 Herzliebster Jesu, was hast du verbrochen.mscx",105/short_score.mxl
106,chor106.krn,"106 Jesu Leiden, Pein und Tod.mscx",106/short_score.mxl
